"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","LOAD_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_AREA_NAME","LABEL","XML_DATA_ITEM","POS","MW","EXECUTION_TYPE","GROUP"
"1","2019-11-29T05:00:00-00:00","2019-11-29T06:00:00-00:00",0,"2019-11-28",22,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2581,"ACTUAL",1
"2","2019-11-28T20:00:00-00:00","2019-11-28T21:00:00-00:00",0,"2019-11-28",13,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2626,"ACTUAL",1
"3","2019-11-28T13:00:00-00:00","2019-11-28T14:00:00-00:00",0,"2019-11-28",6,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2649,"ACTUAL",1
"4","2019-11-28T11:00:00-00:00","2019-11-28T12:00:00-00:00",0,"2019-11-28",4,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2439,"ACTUAL",1
"5","2019-11-28T19:00:00-00:00","2019-11-28T20:00:00-00:00",0,"2019-11-28",12,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2668,"ACTUAL",1
"6","2019-11-29T01:00:00-00:00","2019-11-29T02:00:00-00:00",0,"2019-11-28",18,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2768,"ACTUAL",1
"7","2019-11-28T18:00:00-00:00","2019-11-28T19:00:00-00:00",0,"2019-11-28",11,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2751,"ACTUAL",1
"8","2019-11-28T16:00:00-00:00","2019-11-28T17:00:00-00:00",0,"2019-11-28",9,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2863,"ACTUAL",1
"9","2019-11-28T15:00:00-00:00","2019-11-28T16:00:00-00:00",0,"2019-11-28",8,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2856,"ACTUAL",1
"10","2019-11-28T12:00:00-00:00","2019-11-28T13:00:00-00:00",0,"2019-11-28",5,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2528,"ACTUAL",1
"11","2019-11-28T10:00:00-00:00","2019-11-28T11:00:00-00:00",0,"2019-11-28",3,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2400,"ACTUAL",1
"12","2019-11-28T09:00:00-00:00","2019-11-28T10:00:00-00:00",0,"2019-11-28",2,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2404,"ACTUAL",1
