"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","LOAD_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_AREA_NAME","LABEL","XML_DATA_ITEM","POS","MW","EXECUTION_TYPE","GROUP"
"1","2019-11-07T23:00:00-00:00","2019-11-08T00:00:00-00:00",0,"2019-11-07",16,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3343,"ACTUAL",1
"2","2019-11-08T00:00:00-00:00","2019-11-08T01:00:00-00:00",0,"2019-11-07",17,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3458,"ACTUAL",1
"3","2019-11-08T05:00:00-00:00","2019-11-08T06:00:00-00:00",0,"2019-11-07",22,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2874,"ACTUAL",1
"4","2019-11-07T22:00:00-00:00","2019-11-07T23:00:00-00:00",0,"2019-11-07",15,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3148,"ACTUAL",1
"5","2019-11-07T14:00:00-00:00","2019-11-07T15:00:00-00:00",0,"2019-11-07",7,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2854,"ACTUAL",1
"6","2019-11-07T11:00:00-00:00","2019-11-07T12:00:00-00:00",0,"2019-11-07",4,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2487,"ACTUAL",1
"7","2019-11-07T10:00:00-00:00","2019-11-07T11:00:00-00:00",0,"2019-11-07",3,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2389,"ACTUAL",1
"8","2019-11-08T07:00:00-00:00","2019-11-08T08:00:00-00:00",0,"2019-11-07",24,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2532,"ACTUAL",1
"9","2019-11-08T06:00:00-00:00","2019-11-08T07:00:00-00:00",0,"2019-11-07",23,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2664,"ACTUAL",1
"10","2019-11-07T15:00:00-00:00","2019-11-07T16:00:00-00:00",0,"2019-11-07",8,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2708,"ACTUAL",1
