Hour,pr_e,pr_fre_u,pr_fre_d
0,30.84655039874883,2.66175417304156,12.0
1,30.84655039874883,2.6660749703112274,12.0
2,30.84655039874883,2.6613408089912403,12.0
3,30.867868225027188,2.6668512645484324,12.0
4,30.867868225027188,2.6917885123843805,12.0
5,30.84655039874883,2.6836834480486558,12.0
6,30.429038174265735,2.5429846599080306,0.0005097841772272428
7,30.20539991837268,0.0009962192295314939,12.0
8,30.20539991837268,0.0012780341036835654,2.294995326293332
9,30.20539991837268,0.0010654587888237882,12.0
10,30.20539991837268,0.0010654587888237882,12.0
11,30.20539991837268,0.0010654587888237882,12.0
12,30.20539991837268,0.0010654587888237882,12.0
13,30.20539991837268,0.0010654587888237882,12.0
14,30.20539991837268,0.0010654587888237882,12.0
15,30.20539991837268,2.5429846599080306,12.0
16,30.268512645484325,2.5466437961516224,12.0
17,30.868279843030912,2.5466437961516224,12.0
18,59.75677719245546,2.727942877453496,12.0
19,65.96362088204617,2.9212375515251403,12.0
20,32.8123755152514,2.883140684297892,12.0
21,31.987799466137552,2.689031255521112,12.0
22,31.987799466137552,2.7008314541483154,12.0
23,31.987799466137552,2.6869030156860525,12.0
