netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,6769.92,0.0,700.9634796496907
0.0,6769.92,0.0,681.5628807366893
0.0,6769.92,0.0,650.6672560896636
0.0,6769.92,0.0,1182.9036190078732
0.0,6684.78,0.0,5451.702725307456
0.0,6457.74,0.0,7424.087510439635
0.0,6343.36,0.0,0.0
0.0,6072.46,0.0,4694.795700147776
0.0,6763.47,0.0,4393.45926069565
0.0,7083.82,0.0,5640.59428229178
0.0,7086.83,0.0,5799.958440526177
0.0,6953.959999999999,0.0,5400.350785297445
0.0,6911.3899999999985,0.0,7728.16894952779
0.0,6768.630000000001,0.0,5869.4954118391415
0.0,6770.779999999999,0.0,7402.159966281885
0.0,6344.65,0.0,8080.194365344543
0.0,6531.7,0.0,6610.697706568283
0.0,6254.0682637283035,0.0,6654.130063245402
0.0,6787.029163742362,0.0,6815.135490339369
0.0,6482.6799999999985,0.0,5800.758728759928
0.0,6692.09,0.0,7764.107396948917
0.0,6509.769999999999,0.0,5387.030784018213
0.0,6585.925519067586,0.0,10993.267608542668
0.0,6563.970938001704,0.0,41908.226676854894
