Plant Name,1,2,3,4,5,6,7,8,9,10,11,12
Copco 2,"4,132","6,213","12,357","13,283","12,630","12,494","11,564","10,730","8,048","6,244","4,999","5,890"
Fall Creek,230,346,688,740,703,696,644,597,448,348,278,328
Iron Gate,"3,857","5,800","11,536","12,400","11,791","11,664","10,796","10,016","7,513","5,829","4,667","5,499"
Drop 5,395,594,"1,182","1,270","1,208","1,195","1,106","1,026",769,597,478,563
Sepulveda Canyon,482,725,"1,441","1,549","1,473","1,457","1,349","1,251",939,728,583,687
Big Creek 1,"13,137","19,755","39,291","42,234","40,159","39,727","36,770","34,115","25,589","19,853","15,896","18,728"
Big Creek 2,"12,554","18,879","37,548","40,360","38,377","37,965","35,139","32,602","24,454","18,972","15,190","17,898"
Big Creek 3,"21,262","65,208","93,314","90,552","98,184","112,340","123,080","92,520","61,298","38,416","18,736","44,371"
Big Creek 4,"13,052","40,508","58,295","62,895","68,548","66,596","68,807","53,387","33,691","18,262","7,426","22,074"
Big Creek 8,"10,804","16,247","32,313","34,734","33,027","32,672","30,240","28,057","21,045","16,327","13,073","15,403"
Big Creek 2A,"18,302","55,542","42,488","24,157","44,440","60,864","66,825","61,287","46,705","36,649","18,643","29,767"
Bishop Creek 2,"1,386","2,084","4,145","4,455","4,236","4,191","3,879","3,599","2,700","2,094","1,677","1,976"
Bishop Creek 3,"1,339","2,014","4,005","4,305","4,093","4,049","3,748","3,477","2,608","2,024","1,620","1,909"
Bishop Creek 4,"1,884","2,833","5,634","6,056","5,758","5,696","5,272","4,892","3,669","2,847","2,279","2,685"
Bishop Creek 5,660,993,"1,975","2,122","2,018","1,997","1,848","1,715","1,286",998,799,941
Bishop Creek 6,392,590,"1,174","1,262","1,200","1,187","1,098","1,019",764,593,475,559
Borel,-8,-12,-25,-26,-25,-25,-23,-21,-16,-12,-10,-12
Fontana,182,274,544,585,556,550,509,472,354,275,220,259
Kaweah 2,317,477,949,"1,020",970,959,888,824,618,479,384,452
Kaweah 1,-3,-5,-10,-10,-10,-10,-9,-8,-6,-5,-4,-5
Kaweah 3,835,"1,255","2,497","2,684","2,552","2,524","2,337","2,168","1,626","1,262","1,010","1,190"
Kern River 3,"8,048","12,103","24,072","25,875","24,604","24,340","22,528","20,902","15,678","12,163","9,739","11,474"
Kern River 1,"6,606","9,934","19,758","21,238","20,194","19,977","18,490","17,155","12,868","9,983","7,993","9,418"
Lundy,503,756,"1,504","1,616","1,537","1,520","1,407","1,306",979,760,608,717
Mammoth Pool,-5,-5,-5,"37,500","73,371","103,711","113,960","70,518","45,137","24,903","10,992","33,469"
Poole,991,"1,490","2,963","3,185","3,028","2,996","2,773","2,573","1,930","1,497","1,199","1,412"
Portal,836,"1,257","2,499","2,686","2,554","2,527","2,339","2,170","1,628","1,263","1,011","1,191"
Rush Creek,"1,827","2,747","5,463","5,872","5,584","5,524","5,113","4,744","3,558","2,760","2,210","2,604"
Santa Ana 1,3,4,9,10,9,9,8,8,6,4,4,4
Santa Ana 3,157,236,469,504,479,474,439,407,305,237,190,224
Lower Tule River,-4,-7,-13,-14,-14,-13,-12,-12,-9,-7,-5,-6
Pardee,"6,503","9,780","19,452","20,909","19,881","19,668","18,204","16,889","12,669","9,828","7,869","9,272"
Dion R Holm,"23,922","31,257","93,638","91,533","64,198","83,371","109,655","44,438","28,036","28,226",-2,"10,019"
Moccasin,"4,744",-77,"33,334","40,867","41,294","42,567","42,472","27,241","25,694","24,585","25,844","19,396"
R C Kirkwood,"4,316","5,219","61,821","61,288","64,216","59,553","66,069","30,204","28,174","26,947","28,492","19,503"
Drop 2 (CA),"1,522","2,289","4,552","4,893","4,653","4,603","4,260","3,953","2,965","2,300","1,842","2,170"
Drop 3 (CA),"1,560","2,346","4,666","5,016","4,769","4,718","4,367","4,052","3,039","2,358","1,888","2,224"
Drop 4,"3,232","4,861","9,667","10,391","9,881","9,775","9,047","8,394","6,296","4,885","3,911","4,608"
Pilot Knob,893,"1,343","2,670","2,870","2,729","2,700","2,499","2,319","1,739","1,349","1,080","1,273"
Big Pine Creek,6,9,18,20,19,18,17,16,12,9,7,9
Castaic,0,0,0,0,0,0,0,0,0,0,0,0
Control Gorge,"3,054","4,593","9,135","9,819","9,337","9,236","8,549","7,932","5,949","4,616","3,696","4,354"
Cottonwood,39,59,117,126,120,118,109,102,76,59,47,56
Foothill,-3,-5,-10,-11,-10,-10,-9,-8,-6,-5,-4,-5
Franklin (CA),0,0,0,0,0,0,0,0,0,0,0,0
Haiwee,-4,-6,-12,-13,-12,-12,-11,-10,-8,-6,-5,-6
Middle Gorge,"3,614","5,434","10,808","11,617","11,047","10,928","10,115","9,384","7,039","5,461","4,373","5,152"
Pleasant Valley Hydro,389,585,"1,164","1,251","1,190","1,177","1,089","1,011",758,588,471,555
San Fernando,429,645,"1,284","1,380","1,312","1,298","1,201","1,115",836,649,519,612
Upper Gorge,"3,694","5,556","11,050","11,877","11,294","11,172","10,341","9,594","7,197","5,583","4,470","5,267"
Exchequer,"13,066","19,649","39,080","42,008","39,944","39,514","36,573","33,933","25,452","19,746","15,811","18,628"
McSwain,"1,785","2,685","5,340","5,740","5,458","5,399","4,998","4,637","3,478","2,698","2,160","2,545"
Chicago Park,"5,636","8,476","16,857","18,120","17,229","17,044","15,776","14,637","10,979","8,517","6,820","8,035"
Dutch Flat 2,"3,822","5,747","11,430","12,286","11,683","11,557","10,697","9,925","7,444","5,775","4,624","5,448"
