netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
150.79204608060851,0.0,0.0,0.0
69.94544999999371,0.0,0.0,0.0
69.94544999999624,0.0,0.0,0.0
85.61323079999643,0.0,0.0,0.0
95.40559379999219,0.0,0.0,0.0
125.98686719699924,0.0,0.0,0.0
258.2458401785261,0.0,0.0,0.0
165.91060740000222,0.0,0.0,0.0
273.89032675366644,0.0,0.0,0.0
725.8938800999946,0.0,0.0,0.0
626.5540800633156,0.0,0.0,0.0
553.6881821999965,0.0,0.0,0.0
634.265340599997,0.0,0.0,0.0
1059.621826785969,0.0,0.0,0.0
714.143044500023,0.0,0.0,0.0
770.2392953999836,0.0,0.0,0.0
1152.1414523999963,0.0,0.0,0.0
1308.2596967999848,0.0,0.0,0.0
1178.1611597999968,0.0,0.0,0.0
1079.538075299987,0.0,0.0,0.0
1342.6728581999964,0.0,0.0,0.0
1694.0787989999976,0.0,0.0,0.0
1734.9269417999953,0.0,0.0,0.0
1559.884420322458,0.0,0.0,0.0
