netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,15.479999999999995
15.479999999999997,0.0,0.0,0.0
26.613181832202518,0.0,0.0,57.970499999999994
61.335095351091205,0.0,0.0,60.3785
88.14751489894498,0.0,0.0,63.13824999999999
46.44,0.0,0.0,66.01875000000001
131.79583333333196,0.0,0.0,68.43025
77.4,0.0,0.0,70.84
102.39097281671049,0.0,0.0,72.22425
0.0,0.0,0.0,71.83575
0.0,0.0,0.0,69.83375
0.0,0.0,0.0,67.63399999999999
0.0,0.0,0.0,64.68525000000001
0.0,0.0,0.0,60.3715
0.0,0.0,0.0,55.49425
1774.5239999999988,0.0,0.0,51.0615
2074.3629999999794,0.0,0.0,47.60175
