netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,34.78475
0.0,0.0,0.0,33.873000000000005
0.0,0.0,0.0,33.656
0.0,0.0,0.0,34.59574999999999
0.0,0.0,0.0,37.00375
0.0,0.0,-7.068186163175253e-13,40.81875
0.0,0.0,0.0,0.0
554.4293320155319,0.0,0.0,42.329000000000015
693.4081699900702,0.0,0.0,0.0
1226.188672292585,0.0,0.0,41.15650000000001
1578.416353777342,0.0,0.0,40.67350000000001
1407.8126499167067,0.0,0.0,40.15725
1030.5105819629464,0.0,0.0,39.8055
1830.4531199163362,0.0,0.0,39.9315
1692.0247102527915,0.0,0.0,40.3515
1648.8403292835303,0.0,0.0,41.356
3608.6015430497173,0.0,0.0,42.61870035544686
744.1763481496179,0.0,0.0,44.185750000000006
0.0,0.0,-6.928391342913111e-13,46.62175
0.0,0.0,0.0,46.69875
20.497547692832356,0.0,0.0,44.51300000000002
535.2300332509128,0.0,0.0,41.12324999999999
767.3198738368404,0.0,0.0,38.618569811500016
685.0380725553883,0.0,0.0,36.1808198115
