DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[0.0],[6771764.040834123],[0.0],[2363167.312692773],[9134931.353526896]
[0.0],[6435191.38404011],[0.0],[2344018.471622276],[8779209.855662387]
[0.0],[6471911.55879526],[0.0],[2360883.35858699],[8832794.91738225]
[0.0],[6044384.091890345],[0.0],[2204716.266350897],[8249100.358241242]
[0.0],[5954078.93742571],[0.0],[2171943.7391358814],[8126022.676561592]
[0.0],[6619982.434644168],[0.0],[2344947.5887450986],[8964930.023389267]
[0.0],[6764381.297061497],[0.0],[2361501.975849826],[9125883.272911323]
[0.0],[6675623.412582705],[0.0],[2348160.3428508816],[9023783.755433585]
[0.0],[6416660.732149412],[0.0],[2352326.7470784327],[8768987.479227845]
[0.0],[1949216.8245504964],[0.0],[792361.2869794096],[2741578.1115299063]
[0.0],[6752616.292271828],[0.0],[2351707.1585869896],[9104323.450858818]
[0.0],[6439012.584847104],[0.0],[2341695.187891496],[8780707.7727386]
[0.0],[6264734.512751393],[0.0],[2362741.6126927724],[8627476.125444166]
[0.0],[6497883.447093312],[0.0],[2354803.8126927726],[8852687.259786084]
[0.0],[6516621.1435850095],[0.0],[2343359.2165228766],[8859980.360107886]
[0.0],[6543529.969715254],[0.0],[2362238.3184470516],[8905768.288162306]
[0.0],[6405211.3488792945],[0.0],[2360573.8299556086],[8765785.178834904]
[0.0],[6473002.885085786],[0.0],[2351591.712692773],[8824594.597778559]
[0.0],[6399952.199265584],[0.0],[2347540.1002536565],[8747492.29951924]
[0.0],[6753843.277456414],[0.0],[2346920.3175164927],[9100763.594972907]
[0.0],[6538221.195499812],[0.0],[2360573.175849826],[8898794.371349638]
[0.0],[6428977.211660719],[0.0],[2361503.2126927725],[8790480.424353492]
[0.0],[6526463.609321615],[0.0],[2351282.112692773],[8877745.722014388]
[0.0],[6409631.769094593],[0.0],[2351282.1126927724],[8760913.881787365]
[0.0],[6663130.209958177],[0.0],[2338907.7452942706],[9002037.955252448]
[0.0],[5247412.518428317],[0.0],[1875607.376865236],[7123019.895293553]
[0.0],[6563453.826055611],[0.0],[2340147.187891496],[8903601.013947107]
[0.0],[5749451.60736776],[3595.7854166667557],[2019195.804809229],[7772243.197593655]
[0.0],[6404664.485798579],[0.0],[2361192.3758498263],[8765856.861648405]
[0.0],[6576053.898899615],[0.0],[2347539.517516493],[8923593.416416109]
[0.0],[5453945.423332876],[1021.6800000000001],[2005801.8348120777],[7460768.938144953]
