gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.3274454246670686,0.0,0.014851549960062568
0.33902611452167625,0.0,0.0062350221452687135
0.334953258108264,0.0,0.014962020268465983
0.0,0.0,0.013942420623839406
0.3332440260295021,0.0,0.33493924793925445
0.2894119765028017,0.0,0.33413333333333334
0.0,0.0,0.05514184993290474
0.2366452330222416,0.0,0.17781016927049115
0.27308007114335875,0.0,0.27605696028349885
0.23210550494119025,0.0,0.26070446828166666
0.24415490607321577,0.0,0.264
0.2108806974383279,0.0,0.2632355267015922
0.0,0.0,0.09217461572121886
0.19884285584698885,0.0,0.13257814490653233
0.1943442134111,0.0,0.19809264060007792
0.18371635570503755,0.0,0.21418586596504482
0.22719124098104598,0.0,0.2781192225763601
0.24553826219239913,0.0,0.2847673940641334
0.26094552109299995,0.0,0.30467510759135047
0.26379425937999973,0.0,0.3061137333333337
0.23018590825782637,0.0,0.32467515254340407
0.1043124090603228,0.0,0.3465350666666669
0.09202269971065678,0.0,0.37637880000000073
0.0,0.0,0.3824074087397343
0.3274454246670686,0.0,0.014851549960062568
