EnergyDemand,EnergyGeneration,Regup,Regdown
0.0,0.0,88400.0,347600.0
0.0,0.0,252000.0,184000.0
0.0,0.0,236400.0,199600.0
0.0,0.0,35200.0,400800.0
0.0,0.0,46000.0,390000.0
0.0,0.0,153000.0,283000.0
0.0,0.0,154400.0,281600.0
0.0,0.0,234000.0,202000.0
0.0,0.0,239800.0,196200.0
0.0,0.0,220000.0,216000.0
0.0,0.0,94600.0,341400.0
0.0,0.0,141200.0,294800.0
0.0,0.0,245000.0,191000.0
0.0,0.0,159600.0,276400.0
0.0,0.0,161000.0,275000.0
0.0,0.0,186000.0,250000.0
0.0,0.0,270400.0,165600.0
0.0,0.0,204800.0,231200.0
0.0,0.0,250600.0,185400.0
0.0,0.0,224600.0,211400.0
0.0,0.0,251000.0,185000.0
0.0,0.0,256200.0,179800.0
0.0,0.0,188800.0,247200.0
0.0,0.0,204800.0,231200.0
0.0,0.0,185000.0,249599.99999999994
0.0,0.0,179400.0,255200.0
0.0,0.0,114800.0,319800.0
0.0,0.0,212800.0,221800.0
0.0,0.0,175600.0,259000.0
0.0,0.0,169000.0,265599.99999999825
0.0,0.0,187400.0,247200.0
0.0,0.0,160000.0,273200.0
0.0,0.0,188800.0,239200.0
0.0,0.0,190200.0,224600.0
0.0,0.0,187800.0,220400.0
0.0,0.0,193440.0,219000.0
0.0,0.0,268840.0,155400.0
0.0,0.0,216640.0,206200.0
0.0,0.0,171800.0,236400.0
0.0,0.0,234000.0,161000.0
0.0,0.0,208599.9999999992,186400.0
0.0,0.0,142600.0,244400.0
0.0,0.0,222240.0,172800.0
0.0,0.0,193040.0,208640.0
0.0,0.0,167640.0,198200.0
0.0,0.0,175040.0,193600.0
0.0,0.0,165240.0,203440.0
0.0,0.0,188760.0,181800.0
0.0,0.0,176080.0,203400.0
0.0,0.0,160600.0,223200.0
0.0,0.0,179800.0,194520.0
0.0,0.0,195880.0,186480.0
0.0,0.0,183240.0,204840.0
0.0,0.0,148760.0,216680.0
0.0,0.0,142120.0,241760.0
0.0,0.0,131800.0,245480.0
0.0,0.0,193520.0,190360.0
0.0,0.0,195880.0,169080.0
0.0,0.0,197240.0,166280.0
0.0,0.0,172240.0,192720.0
0.0,0.0,168120.0,187520.0
0.0,0.0,178080.0,195000.0
0.0,0.0,173360.0,198279.99999999997
0.0,0.0,159200.0,219080.0
0.0,0.0,167640.0,210640.0
0.0,0.0,175200.0,195080.0
0.0,0.0,172760.0,192360.0
0.0,0.0,166200.0,192320.0
0.0,0.0,213840.0,151280.0
0.0,0.0,148800.0,213480.0
0.0,0.0,221480.0,142280.0
0.0,0.0,229480.0,144640.0
0.0,0.0,206760.0,159240.0
0.0,0.0,198720.0,168720.0
0.0,0.0,180320.0,203160.0
0.0,0.0,196400.0,173960.0
0.0,0.0,167560.0,191920.0
0.0,0.0,156280.0,218720.0
0.0,0.0,143039.99999999913,210760.0
0.0,0.0,119520.0,246560.0
0.0,0.0,226160.0,163864.16997760272
0.0,0.0,178600.0,210120.0
0.0,0.0,234280.0,147880.0
0.0,0.0,240320.0,138960.0
0.0,0.0,234240.0,112120.0
0.0,0.0,230480.0,117280.0
0.0,0.0,271440.0,92320.0
0.0,0.0,240720.0,105560.0
0.0,0.0,264320.0,85640.0
0.0,0.0,266120.0,91880.0
0.0,0.0,257720.0,90880.0
0.0,0.0,224720.0,131920.0
0.0,0.0,259080.0,92360.0
0.0,0.0,284080.0,40400.0
0.0,0.0,272360.0,49880.0
0.0,0.0,260520.0,64480.0
0.0,0.0,280760.0,57440.0
0.0,0.0,279280.0,47160.0
0.0,0.0,237920.0,91360.0
0.0,0.0,233160.0,105480.0
0.0,0.0,221400.0,120160.0
0.0,0.0,213320.0,125400.0
0.0,0.0,193080.0,151720.0
0.0,0.0,184160.0,156920.0
0.0,0.0,197360.0,130520.0
0.0,0.0,189800.0,143240.0
0.0,0.0,159560.0,169680.0
0.0,0.0,216120.0,138120.0
0.0,0.0,197720.0,169680.0
0.0,0.0,229800.0,135280.0
0.0,0.0,246760.0,123480.0
0.0,0.0,232120.0,138120.0
0.0,0.0,208560.0,176320.0
0.0,0.0,223160.0,148520.0
0.0,0.0,262800.0,103200.0
0.0,0.0,191160.0,182880.0
0.0,0.0,203000.0,188480.0
0.0,0.0,207200.0,189440.0
0.0,0.0,190200.0,207840.0
0.0,0.0,213800.0,182800.0
0.0,0.0,198120.0,191840.0
0.0,0.0,218920.0,165840.0
0.0,0.0,166120.0,218640.0
0.0,0.0,200960.0,183800.0
0.0,0.0,229760.0,156400.0
0.0,0.0,207520.0,178600.0
0.0,0.0,198080.0,193200.0
0.0,0.0,233480.0,157840.0
0.0,0.0,180720.0,217200.0
0.0,0.0,217880.0,191800.0
0.0,0.0,208880.0,207400.0
0.0,0.0,249440.0,174800.0
0.0,0.0,294280.0,131400.0
0.0,0.0,279680.0,146000.0
0.0,0.0,352640.0,71600.0
0.0,0.0,355040.0,69200.0
0.0,0.0,364440.0,59800.0
0.0,0.0,391800.0,44200.0
0.0,0.0,373400.0,62600.0
0.0,0.0,395000.0,41000.0
0.0,0.0,374800.0,61200.0
0.0,0.0,394600.0,41400.0
0.0,0.0,399800.0,36200.0
0.0,0.0,426600.0,9400.0
