EnergyDemand,EnergyGeneration,Regup,Regdown
0.0,376200.0,34584.54301794021,389486.16095227236
0.0,376200.0,46800.00000000636,383113.26286130474
0.0,373228.6783892043,38400.0,391518.5359539959
0.0,376200.0,35239.20000000169,391000.0
0.0,376200.0,37802.05650360818,392000.0
0.0,359715.1674008069,42600.0,388200.0
0.0,369600.0,38800.0,392000.0
0.0,376200.0,37800.0,392727.9156279993
0.0,376200.0,38800.0,392000.0
0.0,376200.0,38800.0,392000.0
0.0,376200.0,47400.0,383400.0
0.0,376200.0,38400.0,392084.18822230306
0.0,376200.0,38068.813384406494,392400.0
0.0,376200.0,36000.0,394766.6666666667
0.0,376200.0,36000.0,394766.6666666667
0.0,376200.0,38400.0,392400.0
0.0,376200.0,36000.0,394766.6666666667
0.0,376200.0,38000.0,392800.0
0.0,376200.0,38400.0,392400.0
0.0,375429.5999999996,34600.000000000444,394900.0000000001
0.0,376200.0,36400.0,394400.0
0.0,376200.0,37400.0,393400.0
0.0,376200.0,36000.0,394800.0
0.0,369600.0,37400.0,393400.0
0.0,376200.0,40200.0,389200.0
0.0,376200.0,39800.0,389600.0
0.0,373167.8454255954,39800.0,389600.0
0.0,369600.0,44709.59999999909,384000.0
0.0,376200.0,40200.0,389200.0
0.0,373382.0655056038,36651.703437990975,389600.0
0.0,376200.0,42200.0,387200.0
0.0,363000.0,35600.0,387200.0
0.0,372909.1812080029,39800.0,388200.0
0.0,369600.0,31800.0,388200.0
0.0,369600.0,30400.000000000735,388200.0
1440.0,366310.08277400455,35600.0,387240.0
1440.0,360229.28268680314,38192.506232004336,384400.0
1440.0,349800.0,36400.0,386288.73441999004
0.0,356400.0,28000.0,386800.0
0.0,349800.0,23399.999999999254,383400.00000000076
0.0,343200.0,14000.0,387600.0
0.0,340064.5265324029,12600.0,381000.0
1440.0,336600.0,21000.0,375440.0
2880.0,336600.0,22400.0,368880.0
1440.0,303600.0,30400.0,323640.0
1440.0,303600.0,21000.0,335840.0
2880.0,290400.0,19600.0,332080.0
5760.0,303600.0,32839.999999999854,337720.0000000001
2880.0,316800.0,16800.0,362680.0
7200.0,323400.0,22440.0,366560.0
4320.0,310200.0,29080.0,350440.0
5760.0,303600.0,42280.0,334880.0
15240.0,310200.0,18280.0,374960.0
12360.0,272435.0518316026,22400.0,341560.0
