gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
404800.0,38466.666666666664,13533.333333333334
409200.0,24733.333333333332,22866.666666666668
408100.0,23966.666666666668,24733.333333333332
0.0,421738.9245308684,34766.666666666664
176242.1948403602,221168.65347736768,32900.0
2200.0,398819.6564610665,35466.666666666664
0.0,391397.7483545989,30169.765876201807
191384.02832960046,195335.65993660106,21706.666666666668
355583.0569425975,37573.333333333336,19366.666666666668
62700.0,328861.98454673146,15413.333333333334
69300.0,307321.1301139988,10053.333333333334
275000.0,84551.45573666618,3040.0
0.0,357706.6666666667,4700.0
152784.0742602,208925.41500373321,5406.666666666667
150319.06204539858,173420.0,9773.333333333334
131653.3769557043,176088.65729200002,9346.666666666666
158173.2789237322,156925.93401779755,8653.333333333334
265100.0,54413.33333333325,10666.666666666666
335418.9203685989,41560.0,11020.0
345118.1260466663,51353.333333333336,9806.666666666666
222200.0,191966.66666666654,7253.333333333333
40873.783097225314,385406.6666666667,2333.3333333333335
1100.0,447913.3333333333,2800.0
0.0,449100.0,7700.0
404800.0,38466.666666666664,13533.333333333334
