netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
206.89864110000252,0.0,0.0,0.0
331.08397649869374,0.0,0.0,124.375
545.7081826268634,0.0,0.0,0.0
495.3677539755387,0.0,0.0,124.98500000000001
1001.003597035971,0.0,0.0,127.9
1168.520453537258,0.0,0.0,127.31
1374.1369663260755,0.0,0.0,129.12500000000003
1431.0568080359835,0.0,0.0,133.24499999999998
2294.804224279344,0.0,0.0,138.16000000000005
1921.8392515441415,0.0,0.0,141.585
2536.1267047948995,0.0,0.0,146.60500000000008
795.0124979448093,0.0,0.0,148.54000000000005
440.177828617708,0.0,0.0,147.53000000000006
0.0,0.0,0.0,148.65500000000003
0.0,0.0,0.0,144.955
709.6151839068448,0.0,0.0,134.77999999999997
316.58869307817423,0.0,0.0,124.90500000000002
959.6926771454858,0.0,0.0,116.61
