DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
148513.65206566837,85879.92027214912,0.0,12044.884460916692,-50588.84733260257
149398.09530778916,146910.5352745841,0.0,12773.853750000002,10286.293716794957
135140.46277370292,74100.00394348224,0.0,12457.032000000003,-48583.42683022068
117130.72013754633,78833.66680564125,0.0,11243.757000000001,-27053.29633190509
140122.4921181508,120527.45651109323,0.0,12272.778000000002,-7322.257607057574
182569.88972006127,120947.09011529229,0.0,11801.903054544604,-49820.89655022437
139012.40237857195,119370.70708973096,0.0,11029.641,-8612.054288840984
143859.47045355002,81482.5504894541,0.0,11474.62946091669,-50902.29050317923
183172.3315703714,93593.76066904061,0.0,12536.538,-77042.0329013308
141972.97281005594,118014.17889730948,0.0,13265.665039030615,-10693.128873715847
154978.00624714483,148166.6643689594,0.0,13907.166000000003,7095.82412181457
137160.99907106167,107678.75591644281,0.0,14235.606000000003,-15246.63715461886
139682.3154861015,138991.3878667371,0.0,13540.968000000003,12850.04038063559
176299.10249615338,128529.49857841193,0.0,13027.182,-34742.42191774145
107013.72073558578,145343.18023968427,0.0,14469.630000000001,52799.08950409849
127228.64300951682,125116.51647954353,0.0,14230.784054544605,12118.657524571317
154476.73634642584,153225.83547600688,0.0,13938.107054544604,12687.20618412565
149758.66234911134,130108.223502688,0.0,13776.302054544603,-5874.136791878758
151799.7615385608,101717.25402898081,0.0,13188.113054544603,-36894.39445503538
169397.62678234864,78352.44245472667,0.0,12270.342000000002,-78774.84232762197
190735.31219872518,124013.7401765021,0.0,12655.763054544603,-54065.80896767846
200702.70636216633,149366.62697093058,0.0,13186.047000000006,-38150.032391235756
364423.4108337703,353682.16920458607,0.0,15555.246000000001,4814.004370815761
348961.28242078284,334346.67735719203,0.0,15915.207000000002,1300.6019364091917
345053.73117008794,286121.8316056507,0.0,15625.418406372088,-43306.481158065144
336241.2502389563,352072.6947233177,0.0,15676.479000000003,31507.92348436138
310303.23326492775,345787.2717415977,0.0,15033.101999999999,50517.14047666994
174300.99033855167,144055.7459998523,0.0,14362.425000000003,-15882.819338699366
