,Export(MW)
2019-03-25 00,18527.844999999998
2019-03-25 01,18260.605
2019-03-25 02,18103.560833333333
2019-03-25 03,18929.524999999998
2019-03-25 04,19675.1925
2019-03-25 05,20124.110833333332
2019-03-25 06,20136.295
2019-03-25 07,19848.97666666667
2019-03-25 08,19708.773333333334
2019-03-25 09,21155.18
2019-03-25 10,22741.495833333334
2019-03-25 11,23482.94916666666
2019-03-25 12,21793.4975
2019-03-25 13,23555.829166666666
2019-03-25 14,16864.016666666666
2019-03-25 15,21413.305833333336
2019-03-25 16,21446.240833333333
2019-03-25 17,21743.795833333334
2019-03-25 18,19947.209166666667
2019-03-25 19,20513.595000000005
2019-03-25 20,20398.305833333336
2019-03-25 21,19966.21833333333
2019-03-25 22,20253.458333333332
2019-03-25 23,19677.4175
2019-03-26 00,18717.51416666667
2019-03-26 01,18318.958333333332
2019-03-26 02,18389.696666666667
2019-03-26 03,18253.020833333332
2019-03-26 04,18861.895
2019-03-26 05,18460.764166666664
2019-03-26 06,19906.15666666667
2019-03-26 07,20209.797500000004
2019-03-26 08,20087.482500000002
2019-03-26 09,20982.24916666667
2019-03-26 10,21805.149166666666
2019-03-26 11,22055.35666666667
2019-03-26 12,21609.183333333338
2019-03-26 13,22399.484166666665
2019-03-26 14,21953.905
2019-03-26 15,21526.3475
2019-03-26 16,20621.341666666664
2019-03-26 17,19912.11333333333
2019-03-26 18,20574.2
2019-03-26 19,20624.489999999998
2019-03-26 20,20874.69916666667
2019-03-26 21,21239.3775
2019-03-26 22,20439.881666666668
2019-03-26 23,19289.62916666667
2019-03-27 00,17682.981666666667
2019-03-27 01,16782.33083333333
2019-03-27 02,16548.534166666668
2019-03-27 03,16385.351666666666
2019-03-27 04,17383.00833333333
2019-03-27 05,17750.36
2019-03-27 06,17758.033333333336
2019-03-27 07,18651.655
2019-03-27 08,18623.736666666668
2019-03-27 09,18712.1775
2019-03-27 10,18564.28583333333
2019-03-27 11,18795.853333333336
2019-03-27 12,18606.78666666667
2019-03-27 13,19445.840833333335
2019-03-27 14,19633.062499999996
2019-03-27 15,18686.322500000002
2019-03-27 16,17664.924166666668
2019-03-27 17,19364.617499999997
2019-03-27 18,18927.981666666667
2019-03-27 19,19191.3875
2019-03-27 20,19540.103333333336
2019-03-27 21,18083.522500000003
2019-03-27 22,17870.920000000002
2019-03-27 23,17585.265
2019-03-28 00,16694.8475
2019-03-28 01,16543.795833333334
2019-03-28 02,16396.231666666667
2019-03-28 03,16258.349166666667
2019-03-28 04,16326.595833333335
2019-03-28 05,17224.1925
2019-03-28 06,19403.190833333334
2019-03-28 07,19179.691666666666
2019-03-28 08,20838.918333333335
2019-03-28 09,22720.65166666666
2019-03-28 10,22658.371666666662
2019-03-28 11,23255.242500000004
2019-03-28 12,22789.99083333333
2019-03-28 13,16933.9975
2019-03-28 14,22147.3225
2019-03-28 15,22356.068333333333
2019-03-28 16,21756.571666666667
2019-03-28 17,20075.269166666665
2019-03-28 18,19176.349166666667
2019-03-28 19,19687.0025
2019-03-28 20,19211.584166666664
2019-03-28 21,18261.583333333332
2019-03-28 22,17638.808333333334
2019-03-28 23,17178.209166666664
2019-03-29 00,16913.937500000004
2019-03-29 01,16633.820833333335
2019-03-29 02,16666.0125
2019-03-29 03,16841.30833333333
2019-03-29 04,16954.149166666666
2019-03-29 05,16729.83916666667
2019-03-29 06,18412.755833333333
2019-03-29 07,18758.818333333333
2019-03-29 08,20217.29083333333
2019-03-29 09,22890.1275
2019-03-29 10,23298.189166666663
2019-03-29 11,23457.41916666667
2019-03-29 12,24196.98833333333
2019-03-29 13,24065.2825
2019-03-29 14,23813.19583333333
2019-03-29 15,22925.096666666665
2019-03-29 16,22302.274166666666
2019-03-29 17,21037.095833333333
2019-03-29 18,19808.975000000002
2019-03-29 19,18481.553333333333
2019-03-29 20,18692.919166666667
2019-03-29 21,18725.649999999998
2019-03-29 22,17573.1675
2019-03-29 23,17094.000833333335
2019-03-30 00,17079.475833333334
2019-03-30 01,17363.07666666667
2019-03-30 02,16756.700833333332
2019-03-30 03,16882.889166666664
2019-03-30 04,16382.106666666667
2019-03-30 05,16723.811666666665
2019-03-30 06,17573.545000000002
2019-03-30 07,18125.16083333333
2019-03-30 08,19885.971666666668
2019-03-30 09,21984.477499999997
2019-03-30 10,22487.020833333332
2019-03-30 11,22291.527499999997
2019-03-30 12,22507.883333333335
2019-03-30 13,22442.409999999993
2019-03-30 14,22377.430833333332
2019-03-30 15,22224.6875
2019-03-30 16,21794.866666666665
2019-03-30 17,20501.379166666666
2019-03-30 18,18933.99166666667
2019-03-30 19,17764.905833333334
2019-03-30 20,17868.86333333333
2019-03-30 21,17816.61666666667
2019-03-30 22,18130.859999999997
2019-03-30 23,17891.508333333335
2019-03-31 00,19085.9925
2019-03-31 01,18622.904166666667
2019-03-31 02,17693.260000000002
2019-03-31 03,17748.155833333334
2019-03-31 04,17310.3075
2019-03-31 05,16837.05083333333
2019-03-31 06,17736.743333333336
2019-03-31 07,18873.594166666666
2019-03-31 08,20714.928333333333
2019-03-31 09,21750.507499999996
2019-03-31 10,22037.108333333337
2019-03-31 11,21848.83333333334
2019-03-31 12,22398.05416666667
2019-03-31 13,22704.730833333335
2019-03-31 14,22752.368333333336
2019-03-31 15,22714.755
2019-03-31 16,23043.131666666664
2019-03-31 17,20611.760833333337
2019-03-31 18,18845.591666666667
2019-03-31 19,19282.133333333335
2019-03-31 20,19009.130833333333
2019-03-31 21,20114.081666666665
2019-03-31 22,18551.718333333334
2019-03-31 23,18516.893333333333
2019-04-01 00,17787.645
2019-04-01 01,17185.002500000002
2019-04-01 02,17270.882500000003
2019-04-01 03,17097.75416666667
2019-04-01 04,17073.082499999993
2019-04-01 05,17582.125833333335
2019-04-01 06,17383.147500000003
2019-04-01 07,17730.47
2019-04-01 08,17418.599166666667
2019-04-01 09,17828.724166666667
2019-04-01 10,17374.37166666667
2019-04-01 11,17072.290833333336
2019-04-01 12,17442.020833333332
2019-04-01 13,17654.51833333333
2019-04-01 14,17399.197500000002
2019-04-01 15,17708.713333333333
2019-04-01 16,17500.82666666667
2019-04-01 17,17699.487500000003
2019-04-01 18,17555.223333333335
2019-04-01 19,17606.112500000003
2019-04-01 20,17548.576666666664
2019-04-01 21,17343.13666666667
2019-04-01 22,18474.365
2019-04-01 23,17877.335833333334
2019-04-02 00,16914.285833333335
2019-04-02 01,16565.684166666662
2019-04-02 02,16073.759166666665
2019-04-02 03,16178.008333333333
2019-04-02 04,15563.285833333335
2019-04-02 05,16309.1175
2019-04-02 06,16834.028333333332
2019-04-02 07,16835.797499999997
2019-04-02 08,16732.455833333337
2019-04-02 09,16481.914166666666
2019-04-02 10,15813.968333333332
2019-04-02 11,15779.091666666667
2019-04-02 12,15873.751666666663
2019-04-02 13,17008.5525
2019-04-02 14,18059.580833333337
2019-04-02 15,15600.29
2019-04-02 16,15367.485
2019-04-02 17,15990.541666666666
2019-04-02 18,16216.669166666668
2019-04-02 19,17379.348333333335
2019-04-02 20,17470.8675
2019-04-02 21,18055.632499999996
2019-04-02 22,17365.704999999998
2019-04-02 23,15779.406666666668
2019-04-03 00,17601.326666666664
2019-04-03 01,16908.141666666666
2019-04-03 02,17122.055833333332
2019-04-03 03,16765.483333333334
2019-04-03 04,16729.924166666668
2019-04-03 05,17241.347499999996
2019-04-03 06,16733.8675
2019-04-03 07,16828.56833333333
2019-04-03 08,16965.948333333334
2019-04-03 09,17281.378333333334
2019-04-03 10,18159.855833333335
2019-04-03 11,19091.021666666667
2019-04-03 12,18792.333333333336
2019-04-03 13,18469.4375
2019-04-03 14,18865.93
2019-04-03 15,18317.6475
2019-04-03 16,19079.805833333332
2019-04-03 17,18424.164999999997
2019-04-03 18,18450.353333333336
2019-04-03 19,19139.903333333332
2019-04-03 20,19797.010000000002
2019-04-03 21,19415.35833333333
2019-04-03 22,19241.126666666667
2019-04-03 23,18191.62166666667
2019-04-04 00,18402.937500000004
2019-04-04 01,17934.350833333334
2019-04-04 02,17974.280833333334
2019-04-04 03,17511.3625
2019-04-04 04,17229.241666666665
2019-04-04 05,17999.267499999998
2019-04-04 06,17702.825
2019-04-04 07,18005.427499999998
2019-04-04 08,18809.611666666664
2019-04-04 09,18316.663333333334
2019-04-04 10,17860.561666666665
2019-04-04 11,18059.265833333335
2019-04-04 12,19429.37583333333
2019-04-04 13,18658.559166666666
2019-04-04 14,19058.585
2019-04-04 15,17988.609166666665
2019-04-04 16,17423.550000000003
2019-04-04 17,17149.115
2019-04-04 18,17073.29333333333
2019-04-04 19,17787.926666666666
2019-04-04 20,17807.089166666665
2019-04-04 21,18850.49916666667
2019-04-04 22,18544.189166666667
2019-04-04 23,17762.994166666667
2019-04-05 00,17809.022500000003
2019-04-05 01,18092.25333333333
2019-04-05 02,18665.225833333334
2019-04-05 03,17743.930833333332
2019-04-05 04,16983.960833333334
2019-04-05 05,18162.81166666667
2019-04-05 06,17438.354166666668
2019-04-05 07,17608.08833333333
2019-04-05 08,18631.785833333335
2019-04-05 09,19646.837499999998
2019-04-05 10,17398.565833333338
2019-04-05 11,18073.154166666664
2019-04-05 12,19015.76083333333
2019-04-05 13,20436.80583333333
2019-04-05 14,20302.446666666663
2019-04-05 15,19806.905
2019-04-05 16,21376.413333333334
2019-04-05 17,21262.085000000003
2019-04-05 18,19762.169166666663
2019-04-05 19,19722.738333333335
2019-04-05 20,19684.990833333333
2019-04-05 21,20099.923333333332
2019-04-05 22,18947.256666666668
2019-04-05 23,18037.767499999998
2019-04-06 00,17478.785833333335
2019-04-06 01,17632.397500000003
2019-04-06 02,16971.5025
2019-04-06 03,17099.546666666665
2019-04-06 04,16771.291666666668
2019-04-06 05,17523.780000000002
2019-04-06 06,17101.7625
2019-04-06 07,17239.090833333335
2019-04-06 08,18642.264166666668
2019-04-06 09,19278.395
2019-04-06 10,19288.784166666668
2019-04-06 11,20169.5175
2019-04-06 12,20387.412500000002
2019-04-06 13,20191.125000000004
2019-04-06 14,20631.85583333333
2019-04-06 15,19700.00416666667
2019-04-06 16,20211.90416666667
2019-04-06 17,19105.0325
2019-04-06 18,18027.30166666667
2019-04-06 19,17868.36
2019-04-06 20,17688.287500000002
2019-04-06 21,17162.9825
2019-04-06 22,18156.171666666665
2019-04-06 23,17867.64833333333
2019-04-07 00,17349.267499999998
2019-04-07 01,16997.22666666667
2019-04-07 02,16904.8625
2019-04-07 03,16138.379166666668
2019-04-07 04,16250.711666666668
2019-04-07 05,16595.539166666666
2019-04-07 06,17482.820833333335
2019-04-07 07,17468.06166666667
2019-04-07 08,19354.706666666665
2019-04-07 09,20547.260833333334
2019-04-07 10,20868.708333333332
2019-04-07 11,20861.464166666665
2019-04-07 12,21053.695833333335
2019-04-07 13,21371.37916666667
2019-04-07 14,21436.424166666664
2019-04-07 15,21161.26416666667
2019-04-07 16,21335.230833333335
2019-04-07 17,21284.879166666666
2019-04-07 18,19260.66
2019-04-07 19,19876.959166666667
2019-04-07 20,19686.2975
2019-04-07 21,19803.458333333332
2019-04-07 22,18523.165833333333
2019-04-07 23,17668.911666666663
2019-04-08 00,18217.850000000002
2019-04-08 01,17877.433333333334
2019-04-08 02,17271.999166666665
2019-04-08 03,17361.48083333333
2019-04-08 04,17431.111666666668
2019-04-08 05,18230.1725
2019-04-08 06,17704.0025
2019-04-08 07,17973.767499999998
2019-04-08 08,18615.62
2019-04-08 09,18540.576666666668
2019-04-08 10,18086.49166666667
2019-04-08 11,17677.04333333333
2019-04-08 12,17367.689166666667
2019-04-08 13,17060.68
2019-04-08 14,17389.901666666665
2019-04-08 15,17583.851666666666
2019-04-08 16,17943.179166666665
2019-04-08 17,17411.685833333333
2019-04-08 18,18177.23
2019-04-08 19,19161.12
2019-04-08 20,19634.713333333337
2019-04-08 21,18582.44916666667
2019-04-08 22,18320.71333333333
2019-04-08 23,17340.915833333336
2019-04-09 00,17452.338333333333
2019-04-09 01,16812.0275
2019-04-09 02,17629.291666666668
2019-04-09 03,18222.486666666668
2019-04-09 04,16739.05
2019-04-09 05,17382.480833333335
2019-04-09 06,17493.229166666668
2019-04-09 07,17405.345
2019-04-09 08,15787.238333333333
2019-04-09 09,18083.105
2019-04-09 10,19629.498333333333
2019-04-09 11,20240.96
2019-04-09 12,20433.84833333333
2019-04-09 13,20905.960833333334
2019-04-09 14,21196.055833333332
2019-04-09 15,20125.450833333332
2019-04-09 16,20826.275833333333
2019-04-09 17,20183.155833333334
2019-04-09 18,18192.150000000005
2019-04-09 19,18370.407499999998
2019-04-09 20,18531.070000000003
2019-04-09 21,18058.605
2019-04-09 22,18300.753333333338
2019-04-09 23,17013.0175
2019-04-10 00,16064.251666666665
2019-04-10 01,16501.997499999998
2019-04-10 02,17118.771666666664
2019-04-10 03,16351.77833333333
2019-04-10 04,15881.115833333335
2019-04-10 05,17009.224166666667
2019-04-10 06,17804.07
2019-04-10 07,17625.81
2019-04-10 08,19188.139166666668
2019-04-10 09,21274.914166666666
2019-04-10 10,20911.391666666666
2019-04-10 11,20732.575
2019-04-10 12,20334.013333333332
2019-04-10 13,15543.81833333333
2019-04-10 14,20450.035833333335
2019-04-10 15,20103.813333333335
2019-04-10 16,19265.30083333333
2019-04-10 17,18439.969166666666
2019-04-10 18,18246.625
2019-04-10 19,17552.25416666667
2019-04-10 20,17357.2375
2019-04-10 21,17191.678333333337
2019-04-10 22,17123.596666666668
2019-04-10 23,16524.07916666667
2019-04-11 00,15703.685
2019-04-11 01,15906.402500000002
2019-04-11 02,15586.595000000001
2019-04-11 03,15433.594166666668
2019-04-11 04,15809.190833333334
2019-04-11 05,16326.065
2019-04-11 06,17104.3425
2019-04-11 07,17691.803333333337
2019-04-11 08,18259.071666666667
2019-04-11 09,17265.718333333338
2019-04-11 10,17194.799166666668
2019-04-11 11,17790.62833333333
2019-04-11 12,16290.231666666665
2019-04-11 13,16345.173333333334
2019-04-11 14,15823.490833333335
2019-04-11 15,16260.677499999998
2019-04-11 16,16289.777500000002
2019-04-11 17,16841.965833333332
2019-04-11 18,16269.820833333333
2019-04-11 19,15873.914166666667
2019-04-11 20,16099.800000000001
2019-04-11 21,15048.506666666668
2019-04-11 22,16243.58416666667
2019-04-11 23,15814.398333333336
2019-04-12 00,15032.074166666665
2019-04-12 01,15493.78416666667
2019-04-12 02,15541.299166666666
2019-04-12 03,15204.908333333333
2019-04-12 04,15637.195833333337
2019-04-12 05,16037.175000000003
2019-04-12 06,17038.797499999997
2019-04-12 07,17566.908333333333
2019-04-12 08,16502.1525
2019-04-12 09,15594.331666666665
2019-04-12 10,15201.480833333333
2019-04-12 11,15383.074166666665
2019-04-12 12,16094.774166666664
2019-04-12 13,16590.37916666667
2019-04-12 14,17387.898333333334
2019-04-12 15,18257.647500000003
2019-04-12 16,18486.342499999995
2019-04-12 17,17940.175
2019-04-12 18,16526.798333333336
2019-04-12 19,16872.017499999998
2019-04-12 20,16177.294166666667
2019-04-12 21,15586.993333333334
2019-04-12 22,15297.364166666666
2019-04-12 23,15095.67083333333
2019-04-13 00,15327.57
2019-04-13 01,15595.493333333334
2019-04-13 02,16010.826666666666
2019-04-13 03,16672.489166666666
2019-04-13 04,16367.275000000001
2019-04-13 05,15850.1225
2019-04-13 06,16523.556666666667
2019-04-13 07,16604.319166666664
2019-04-13 08,18687.571666666667
2019-04-13 09,19714.017499999998
2019-04-13 10,20346.709999999995
2019-04-13 11,20813.251666666667
2019-04-13 12,21307.000833333335
2019-04-13 13,21098.0
2019-04-13 14,20142.51166666667
2019-04-13 15,18823.373333333337
2019-04-13 16,18278.30416666667
2019-04-13 17,17650.654166666664
2019-04-13 18,17610.878333333338
2019-04-13 19,17853.435
2019-04-13 20,17781.80416666667
2019-04-13 21,17607.946666666667
2019-04-13 22,16661.114166666663
2019-04-13 23,15486.733333333335
2019-04-14 00,17368.216666666667
2019-04-14 01,16950.888333333332
2019-04-14 02,16962.243333333336
2019-04-14 03,16891.006666666668
2019-04-14 04,16651.054999999997
2019-04-14 05,17173.676666666666
2019-04-14 06,17663.0225
2019-04-14 07,17550.251666666667
2019-04-14 08,19393.139999999996
2019-04-14 09,20618.66
2019-04-14 10,21255.6125
2019-04-14 11,22000.609166666673
2019-04-14 12,21925.073333333334
2019-04-14 13,22242.854999999996
2019-04-14 14,22503.5175
2019-04-14 15,22311.746666666662
2019-04-14 16,21839.265833333327
2019-04-14 17,19636.435833333333
2019-04-14 18,18601.84833333333
2019-04-14 19,19448.249166666665
2019-04-14 20,19792.154166666667
2019-04-14 21,19999.650000000005
2019-04-14 22,18870.681666666664
2019-04-14 23,16726.664999999997
2019-04-15 00,14934.277500000002
2019-04-15 01,15895.635
2019-04-15 02,15031.373333333335
2019-04-15 03,14328.19
2019-04-15 04,14744.007499999998
2019-04-15 05,16341.529166666667
2019-04-15 06,16655.850000000002
2019-04-15 07,16092.165833333334
2019-04-15 08,17346.73916666667
2019-04-15 09,18396.829999999998
2019-04-15 10,17867.744166666667
2019-04-15 11,18378.995833333338
2019-04-15 12,18503.267499999998
2019-04-15 13,18769.805833333332
2019-04-15 14,12388.259166666669
2019-04-15 15,18040.69
2019-04-15 16,17334.899166666666
2019-04-15 17,17676.573333333334
2019-04-15 18,18208.5975
2019-04-15 19,17710.350833333334
2019-04-15 20,18278.833333333336
2019-04-15 21,17850.754166666666
2019-04-15 22,18304.1125
2019-04-15 23,16763.805833333336
2019-04-16 00,14772.865833333335
2019-04-16 01,14547.404166666669
2019-04-16 02,14946.515
2019-04-16 03,14753.386666666667
2019-04-16 04,14904.36
2019-04-16 05,15143.836666666668
2019-04-16 06,16273.095833333333
2019-04-16 07,16987.045833333334
2019-04-16 08,16802.645
2019-04-16 09,17679.114166666666
2019-04-16 10,16964.5225
2019-04-16 11,16760.579999999998
2019-04-16 12,17003.57416666667
2019-04-16 13,17289.778333333335
2019-04-16 14,17267.528333333332
2019-04-16 15,16924.83
2019-04-16 16,18769.444999999996
2019-04-16 17,19763.6925
2019-04-16 18,18849.798333333336
2019-04-16 19,18365.710833333334
2019-04-16 20,18535.196666666667
2019-04-16 21,17781.636666666665
2019-04-16 22,16375.445000000002
2019-04-16 23,15040.9775
2019-04-17 00,16663.1925
2019-04-17 01,16646.400833333337
2019-04-17 02,16668.469166666666
2019-04-17 03,16866.2025
2019-04-17 04,17002.78166666667
2019-04-17 05,17341.65166666667
2019-04-17 06,15989.194166666666
2019-04-17 07,17606.701666666668
2019-04-17 08,19069.24666666667
2019-04-17 09,19511.835833333334
2019-04-17 10,20208.484999999997
2019-04-17 11,19909.608333333334
2019-04-17 12,19922.413333333334
2019-04-17 13,19960.07083333333
2019-04-17 14,20027.548333333332
2019-04-17 15,19564.7775
2019-04-17 16,18997.78
2019-04-17 17,18811.89
2019-04-17 18,18803.294166666667
2019-04-17 19,17906.56166666667
2019-04-17 20,18091.398333333334
2019-04-17 21,17612.290833333333
2019-04-17 22,17693.785833333335
2019-04-17 23,16370.411666666667
2019-04-18 00,16301.046666666667
2019-04-18 01,15696.695
2019-04-18 02,14311.464166666667
2019-04-18 03,14246.687499999998
2019-04-18 04,14992.239999999998
2019-04-18 05,15820.795
2019-04-18 06,17031.130833333333
2019-04-18 07,17564.003333333334
2019-04-18 08,19061.1375
2019-04-18 09,17793.6125
2019-04-18 10,18961.502500000002
2019-04-18 11,18175.470000000005
2019-04-18 12,16772.373333333337
2019-04-18 13,18112.676666666666
2019-04-18 14,16805.732500000002
2019-04-18 15,12977.929166666667
2019-04-18 16,16621.695833333335
2019-04-18 17,16682.850000000002
2019-04-18 18,17899.211666666666
2019-04-18 19,19220.229166666668
2019-04-18 20,19195.005833333333
2019-04-18 21,18064.229166666668
2019-04-18 22,16790.770833333332
2019-04-18 23,16375.311666666668
2019-04-19 00,16065.462499999996
2019-04-19 01,17154.66
2019-04-19 02,17030.022500000003
2019-04-19 03,16329.213333333335
2019-04-19 04,15778.319999999998
2019-04-19 05,15576.383333333337
2019-04-19 06,15863.049166666664
2019-04-19 07,17302.628333333334
2019-04-19 08,16368.745833333329
2019-04-19 09,16179.058333333334
2019-04-19 10,16100.183333333332
2019-04-19 11,17189.01
2019-04-19 12,16893.216666666664
2019-04-19 13,16507.080833333333
2019-04-19 14,16871.604166666668
2019-04-19 15,16947.735833333336
2019-04-19 16,17465.72416666667
2019-04-19 17,18331.503333333338
2019-04-19 18,18214.850833333334
2019-04-19 19,17261.37
2019-04-19 20,16840.483333333334
2019-04-19 21,17031.244166666667
2019-04-19 22,17450.688333333335
2019-04-19 23,16689.288333333334
2019-04-20 00,15240.513333333334
2019-04-20 01,16385.149166666666
2019-04-20 02,16243.061666666663
2019-04-20 03,16388.038333333334
2019-04-20 04,16768.27666666667
2019-04-20 05,18287.469166666666
2019-04-20 06,17872.390833333335
2019-04-20 07,18128.20583333333
2019-04-20 08,19634.344999999998
2019-04-20 09,18771.047499999997
2019-04-20 10,20044.795833333334
2019-04-20 11,20041.512499999997
2019-04-20 12,20325.2625
2019-04-20 13,20851.490833333333
2019-04-20 14,21481.534166666668
2019-04-20 15,21770.551666666666
2019-04-20 16,21508.36083333333
2019-04-20 17,21138.989166666666
2019-04-20 18,20055.75
2019-04-20 19,19206.8775
2019-04-20 20,17560.078333333335
2019-04-20 21,17127.689166666667
2019-04-20 22,17723.883333333335
2019-04-20 23,16845.595833333333
2019-04-21 00,16814.320000000003
2019-04-21 01,17323.110833333336
2019-04-21 02,18841.694999999996
2019-04-21 03,18713.905833333334
2019-04-21 04,18026.19833333333
2019-04-21 05,18821.11
2019-04-21 06,18997.639166666668
2019-04-21 07,19632.953333333335
2019-04-21 08,19103.263333333332
2019-04-21 09,20720.633333333335
2019-04-21 10,21139.079999999998
2019-04-21 11,21219.74
2019-04-21 12,22203.115833333333
2019-04-21 13,22612.345833333336
2019-04-21 14,23087.446666666667
2019-04-21 15,22288.700833333336
2019-04-21 16,22173.435833333333
2019-04-21 17,22419.570000000003
2019-04-21 18,21594.510833333337
2019-04-21 19,20138.87583333333
2019-04-21 20,20046.353333333333
2019-04-21 21,20363.981666666663
2019-04-21 22,19867.2975
2019-04-21 23,19283.464166666665
2019-04-22 00,17045.5575
2019-04-22 01,16785.690833333338
2019-04-22 02,17089.063333333335
2019-04-22 03,17604.844166666666
2019-04-22 04,16650.611666666668
2019-04-22 05,18349.913333333334
2019-04-22 06,16582.94
2019-04-22 07,18621.6075
2019-04-22 08,18608.524999999998
2019-04-22 09,18638.599999999995
2019-04-22 10,20055.017499999998
2019-04-22 11,20770.649999999998
2019-04-22 12,21285.735833333336
2019-04-22 13,20967.869999999995
2019-04-22 14,20107.0675
2019-04-22 15,20589.67333333333
2019-04-22 16,21659.0275
2019-04-22 17,17603.430833333336
2019-04-22 18,15814.8375
2019-04-22 19,17655.078333333335
2019-04-22 20,18290.64916666667
2019-04-22 21,17910.91083333333
2019-04-22 22,18026.409166666665
2019-04-22 23,17328.821666666667
2019-04-23 00,16219.782500000001
2019-04-23 01,15621.76
2019-04-23 02,15715.495833333336
2019-04-23 03,15709.772500000001
2019-04-23 04,15782.195833333331
2019-04-23 05,16838.120000000003
2019-04-23 06,18217.574166666665
2019-04-23 07,18695.2775
2019-04-23 08,17324.329166666666
2019-04-23 09,19819.413333333334
2019-04-23 10,19984.939166666663
2019-04-23 11,20129.146666666664
2019-04-23 12,20222.5525
2019-04-23 13,18853.135833333337
2019-04-23 14,18437.373333333333
2019-04-23 15,19306.524166666666
2019-04-23 16,19082.211666666666
2019-04-23 17,19726.26583333333
2019-04-23 18,18346.98833333333
2019-04-23 19,17809.346666666665
2019-04-23 20,19392.489166666663
2019-04-23 21,18124.045
2019-04-23 22,18198.8575
2019-04-23 23,17487.552499999998
2019-04-24 00,16773.756666666664
2019-04-24 01,15324.54333333333
2019-04-24 02,14939.503333333336
2019-04-24 03,14649.263333333334
2019-04-24 04,15259.22
2019-04-24 05,16150.419166666667
2019-04-24 06,17782.99583333333
2019-04-24 07,18068.035833333335
2019-04-24 08,18889.837499999998
2019-04-24 09,18255.530000000002
2019-04-24 10,18664.661666666667
2019-04-24 11,18511.258333333335
2019-04-24 12,18456.319166666668
2019-04-24 13,18540.998333333333
2019-04-24 14,18999.666666666668
2019-04-24 15,17870.578333333335
2019-04-24 16,18505.2525
2019-04-24 17,18655.894166666665
2019-04-24 18,18523.87083333333
2019-04-24 19,19404.036666666667
2019-04-24 20,18484.71666666667
2019-04-24 21,19232.284166666665
2019-04-24 22,18161.375833333335
2019-04-24 23,16563.734999999997
2019-04-25 00,15575.568333333336
2019-04-25 01,16148.082500000002
2019-04-25 02,16057.121666666664
2019-04-25 03,15215.655000000004
2019-04-25 04,15833.917499999998
2019-04-25 05,17580.664166666673
2019-04-25 06,17917.134166666667
2019-04-25 07,18317.490000000005
2019-04-25 08,17800.469999999998
2019-04-25 09,17128.444166666668
2019-04-25 10,17034.2825
2019-04-25 11,17044.391666666663
2019-04-25 12,16682.202499999996
2019-04-25 13,16971.286666666667
2019-04-25 14,16954.999166666665
2019-04-25 15,15994.604166666672
2019-04-25 16,16646.89333333333
2019-04-25 17,18053.227499999997
2019-04-25 18,18464.52
2019-04-25 19,20667.733333333334
2019-04-25 20,20632.059999999998
2019-04-25 21,17887.5975
2019-04-25 22,17386.381666666664
2019-04-25 23,17924.69166666667
2019-04-26 00,16056.213333333331
2019-04-26 01,15623.56
2019-04-26 02,15545.435
2019-04-26 03,16005.770833333334
2019-04-26 04,15321.646666666667
2019-04-26 05,15922.970833333333
2019-04-26 06,19958.923333333336
2019-04-26 07,21408.589166666665
2019-04-26 08,21837.35083333333
2019-04-26 09,21605.637499999997
2019-04-26 10,21378.6325
2019-04-26 11,21962.20583333333
2019-04-26 12,22059.655000000002
2019-04-26 13,22339.3075
2019-04-26 14,22088.555833333332
2019-04-26 15,22930.569166666668
2019-04-26 16,23269.612500000003
2019-04-26 17,23618.711666666666
2019-04-26 18,21047.486666666668
2019-04-26 19,20890.411666666667
2019-04-26 20,20633.3675
2019-04-26 21,20286.509166666663
2019-04-26 22,17668.938333333335
2019-04-26 23,16948.3375
2019-04-27 00,16639.725000000002
2019-04-27 01,17090.846666666668
2019-04-27 02,17352.711666666666
2019-04-27 03,16921.229166666668
2019-04-27 04,17852.3575
2019-04-27 05,17883.66083333333
2019-04-27 06,17821.274166666666
2019-04-27 07,18185.015833333335
2019-04-27 08,17787.33083333333
2019-04-27 09,17997.48
2019-04-27 10,17855.7625
2019-04-27 11,18720.21
2019-04-27 12,19407.615833333333
2019-04-27 13,19537.075
2019-04-27 14,20836.538333333334
2019-04-27 15,22142.680833333332
2019-04-27 16,22530.898333333334
2019-04-27 17,22448.608333333334
2019-04-27 18,21537.658333333336
2019-04-27 19,20438.68833333333
2019-04-27 20,19521.724166666667
2019-04-27 21,18423.52
2019-04-27 22,17611.946666666667
2019-04-27 23,16993.221666666668
2019-04-28 00,16194.323333333332
2019-04-28 01,15229.716666666667
2019-04-28 02,14665.169999999998
2019-04-28 03,14722.470000000001
2019-04-28 04,14640.44
2019-04-28 05,14911.340833333335
2019-04-28 06,15464.949166666665
2019-04-28 07,16833.3875
2019-04-28 08,17699.495
2019-04-28 09,18533.93416666667
2019-04-28 10,19081.257500000003
2019-04-28 11,18839.842500000002
2019-04-28 12,18540.57916666667
2019-04-28 13,18272.56166666667
2019-04-28 14,16464.291666666668
2019-04-28 15,15428.4425
2019-04-28 16,16118.988333333335
2019-04-28 17,15951.303333333331
2019-04-28 18,16649.130833333333
2019-04-28 19,16517.64083333333
2019-04-28 20,16778.875
2019-04-28 21,15796.874999999998
2019-04-28 22,15045.928333333331
2019-04-28 23,14198.230833333333
2019-04-29 00,13959.766666666668
2019-04-29 01,14059.867499999998
2019-04-29 02,15212.218333333336
2019-04-29 03,15213.723333333335
2019-04-29 04,15312.085833333333
