DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[581030.2791678475],[288905.12689919356],[0.0],[7014.553766376683],[-285110.5985022772]
[549964.8549548116],[281634.2478239407],[0.0],[6785.548000000001],[-261545.0591308709]
[790550.1335618407],[0.0],[0.0],[6470.198719827575],[-784079.9348420132]
[551095.3055810134],[284867.66646198754],[0.0],[7137.130000000006],[-259090.5091190259]
[845969.1764599531],[403737.9728009141],[0.0],[7449.022000000001],[-434782.181659039]
[562959.4047584778],[278509.5800267849],[0.0],[7425.509766376679],[-277024.3149653162]
[508199.5339276318],[236180.14431864914],[0.0],[7252.308000000007],[-264767.08160898264]
[6260.156226957264],[6442173.9285083935],[0.0],[7136.928486204254],[6443050.700767641]
[519347.63642875233],[252161.31971407647],[0.0],[6919.6680000000015],[-260266.64871467586]
[692736.8087966719],[277775.8406485043],[0.0],[6528.384253047145],[-408432.5838951204]
[526944.378259702],[244112.00832043256],[0.0],[7277.3757663766855],[-275554.99417289277]
[515333.71457522956],[0.0],[0.0],[7100.646000000001],[-508233.06857522955]
[484678.8966751307],[253833.28460213414],[0.0],[6818.686000000001],[-224026.92607299658]
[498941.4167808591],[246283.2501349483],[0.0],[6984.678486204254],[-245673.48815970658]
[534220.00142043],[278289.4695920708],[0.0],[6752.053766376679],[-249178.47806198255]
[507965.7271802509],[257102.54252621334],[0.0],[6444.3764862042535],[-244418.8081678333]
[8502.75114146734],[6197049.806806131],[0.0],[6270.320719827575],[6194817.376384492]
[8476.27892832581],[6464105.4686136],[0.0],[6951.2247198275745],[6462580.414405103]
[553216.3834979498],[267008.64297527744],[0.0],[7017.192000000001],[-279190.5485226724]
[553576.8544753861],[0.0],[0.0],[7017.12976637668],[-546559.7247090094]
[522828.2556533288],[1405.0859356466965],[0.0],[6969.032],[-514454.1377176821]
[505421.7842169519],[1405.0859356467101],[367.04615826344804],[6706.732161335576],[-496942.9199617062]
[508572.29507354135],[0.0],[0.0],[6382.342486204255],[-502189.9525873371]
[476211.45930924604],[275548.700843182],[0.0],[6102.27176637668],[-194560.48669968738]
[528557.4921590181],[283185.79988513794],[0.0],[7030.331766376683],[-238341.36050750344]
[538302.2311032376],[281360.04455032625],[0.0],[6897.240719827574],[-250044.94583308377]
[513188.087853292],[254627.17527529376],[0.0],[7031.458719827576],[-251529.45385817066]
[523855.78136258887],[0.0],[0.0],[6556.5920000000015],[-517299.18936258886]
[468574.68539900566],[0.0],[0.0],[6810.854486204256],[-461763.8309128014]
[485748.56545310083],[275353.37463513843],[0.0],[6325.614486204255],[-204069.57633175817]
[463533.5531160859],[270648.9540166971],[0.0],[6265.0917663766795],[-186619.50733301206]
