Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,6.020000000000002,0.0,38.38450000000001
vehicle,1,2,0.0,0.0,37.07900000000001
vehicle,1,3,0.0,0.0,36.07275
vehicle,1,4,0.0,0.0,35.52149999999999
vehicle,1,5,0.0,0.0,35.5915
vehicle,1,6,3.010000000000037,0.0,36.4122500000001
vehicle,1,7,3.0100000000000153,0.0,0.0
vehicle,1,8,3.01,0.0,37.6495
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,35.50925000000001
vehicle,1,11,0.0,0.0,34.459250000000004
vehicle,1,12,0.0,0.0,33.41975
vehicle,1,13,1.2040000000007978,0.0,32.69
vehicle,1,14,14.19,0.0,32.83875
vehicle,1,15,0.0,0.0,33.960499999999996
vehicle,1,16,14.19,0.0,36.08675
vehicle,1,17,14.19,0.0,40.2891712120502
vehicle,1,18,5.2890000000122965,0.0,45.984750000000005
vehicle,1,19,1385.776227651544,0.0,47.11175000000001
vehicle,1,20,894.482790946684,0.0,46.78800000000001
vehicle,1,21,0.0,0.0,46.05825000000001
vehicle,1,22,0.0,0.0,44.36425
vehicle,1,23,0.0,0.0,41.65349999999999
vehicle,1,24,0.0,0.0,38.98570053100716
