date_time,netload
8/1/20 00:00,26938.00
8/1/20 01:00,25315.00
8/1/20 02:00,24354.00
8/1/20 03:00,23649.00
8/1/20 04:00,23324.00
8/1/20 05:00,23283.00
8/1/20 06:00,23272.00
8/1/20 07:00,23928.00
8/1/20 08:00,24504.00
8/1/20 09:00,25297.00
8/1/20 10:00,26265.00
8/1/20 11:00,27735.00
8/1/20 12:00,29391.00
8/1/20 13:00,31113.00
8/1/20 14:00,32720.00
8/1/20 15:00,34347.00
8/1/20 16:00,35803.00
8/1/20 17:00,37004.00
8/1/20 18:00,37145.00
8/1/20 19:00,36088.00
8/1/20 20:00,34735.00
8/1/20 21:00,32750.00
8/1/20 22:00,30083.00
8/1/20 23:00,27591.00
8/2/20 00:00,25614.00
8/2/20 01:00,24108.00
8/2/20 02:00,22996.00
8/2/20 03:00,22391.00
8/2/20 04:00,22074.00
8/2/20 05:00,21908.00
8/2/20 06:00,21676.00
8/2/20 07:00,21980.00
8/2/20 08:00,22366.00
8/2/20 09:00,23029.00
8/2/20 10:00,24042.00
8/2/20 11:00,25653.00
8/2/20 12:00,27439.00
8/2/20 13:00,29273.00
8/2/20 14:00,31204.00
8/2/20 15:00,32940.00
8/2/20 16:00,34538.00
8/2/20 17:00,35832.00
8/2/20 18:00,35969.00
8/2/20 19:00,34868.00
8/2/20 20:00,33570.00
8/2/20 21:00,31619.00
8/2/20 22:00,29042.00
8/2/20 23:00,26647.00
