maxcap_ws,maxcap_ws
-8.78827,2460.43148
-9.56754,2170.48339
-9.91254,2108.03761
-11.20422,2070.03619
-12.4469,2027.51944
-4.41375,1943.43289
11.06523,1919.33602
1874.37852,1852.42592
7408.84553,1888.92236
10802.54377,1813.77797
11453.97174,1885.99677
11361.7892,2012.04965
11321.33566,1756.63856
11395.51945,1412.39522
10416.26878,1161.434
6424.38968,802.18859
1112.12462,603.5613
-10.04748,522.76097
-10.16596,437.54051
-10.16587,446.73176
-9.91654,402.37121
-9.88158,369.56965
-10.83546,309.52989
-17.04244,297.19818
-17.88294,250.19274
-18.01075,256.90677
-18.22207,302.64984
-19.28296,298.20522
-21.43566,332.67625
-15.43444,383.92373
-3.03076,395.77908
1832.47591,438.76481
7599.66066,422.94345
10861.58207,464.81751
11284.27294,452.88731
11132.53102,483.10016
11158.98062,481.52459
11306.82982,315.20091
10659.17032,301.59539
6655.23642,212.80595
991.81046,170.76534
3.79433,183.80112
-1.72636,260.341
-10.9567,279.37015
-11.50073,284.84623
-11.43259,304.25712
-12.43489,316.25047
-11.1791,301.24312
-11.24348,333.02702
-12.36409,354.74807
-11.26449,346.72779
-11.48001,312.48072
-13.92924,284.53981
-15.07207,177.82662
-0.60432,318.10135
1940.08959,306.30988
7742.71435,318.39648
10989.59465,247.65794
11451.67892,195.64819
11372.57083,178.73051
11402.95408,185.63356
11429.46766,151.48215
10576.49794,154.42207
6591.16082,156.40496
1023.21591,174.13276
4.66746,190.95328
-10.92147,212.00452
-10.40271,188.32169
-10.87897,164.86379
-10.57035,149.62878
-12.31639,139.20161
-11.48955,137.29052
-11.48719,139.01409
-11.5843,135.20024
-11.55067,139.31794
-12.15449,142.76089
-14.81899,138.67668
-16.69634,134.95741
-1.78305,107.9047
2014.05122,111.61684
7933.87767,124.33913
10998.85741,112.07561
11416.76621,109.38272
11250.64528,112.78139
11299.51886,132.50017
11365.13644,120.74408
10544.83469,89.27116
6679.18512,96.70856
1063.7053,112.73089
-51.87859,79.80965
-63.63845,68.53183
-57.41645,96.38384
-45.46597,162.48269
-42.95781,166.91228
-41.54175,163.36954
-42.85879,184.23426
-43.60209,163.00425
-43.02592,197.49307
-43.52988,185.14321
-42.64882,188.69967
-42.46877,208.71675
-44.74211,203.73458
-39.05987,290.90016
401.70675,506.00019
1304.00359,775.9921
2031.72835,1034.78317
2922.15177,987.09047
2823.368,862.25983
3087.16959,1057.67554
2066.95855,1313.7563
1266.23203,1580.06286
601.15214,1281.37764
37.71523,1121.25466
-46.30891,1163.33197
-43.77933,930.44846
-44.94602,531.29401
-44.13355,382.0632
-44.12854,405.09651
-44.45212,405.52246
-44.4967,331.62194
-44.24476,377.01771
-44.42603,603.27471
-44.06294,813.14196
-44.58052,811.2567
-46.86352,993.40433
-48.37363,1115.6431
-49.42181,1164.49984
1050.40648,1064.73036
4758.21112,1225.32916
6814.78296,1357.18752
8783.74906,1490.52753
8664.86493,1659.3932
8662.6773,1712.67846
9028.3401,1942.9843
8537.69473,2017.67951
5119.17851,2031.7993
799.19919,2005.46275
-32.89119,2022.79049
-38.87634,2305.70179
-37.85601,2118.26101
-37.16901,2361.01246
-36.48425,2361.82463
-37.51364,2737.29324
-36.52405,2529.30524
-36.98609,2544.66075
-38.02309,2450.26801
-37.9799,2014.29069
-38.36823,1598.08147
-39.48528,1193.43779
-41.4444,756.94319
-33.0366,590.25347
837.85415,519.89341
3837.25856,396.08782
6405.23038,347.99345
7860.3547,333.66696
9146.11192,310.8123
9516.45911,292.55609
9935.55157,245.48951
9410.52765,454.67532
5840.56676,580.92848
1037.22551,812.80457
-33.00376,1033.64904
-42.47661,770.21323
-41.02488,477.699
-41.1045,413.54854
-40.27104,697.35904
-42.0214,614.69552
-41.61267,449.16983
-43.44044,387.58675
-45.27188,397.70593
-46.62811,382.97119
-45.72369,478.39235
-45.15923,525.25752
-47.68329,528.41072
-34.63548,409.54747
1407.29593,319.03184
4811.60465,249.82187
7553.38254,253.24278
8724.21501,295.75943
8763.5373,370.39602
8870.81297,380.43628
8429.83776,329.08623
6996.70528,527.75586
3651.01993,344.99631
570.46015,191.7764
-47.2625,255.66709
-44.80848,381.84795
-44.78952,363.07154
-43.78624,327.65654
-42.57092,412.13752
-43.42279,507.00206
-43.02298,586.93042
-43.49895,741.28781
-44.84892,1040.91288
-45.14528,1000.15473
-33.30842,775.23831
-20.4225,394.20351
-18.24328,522.52003
-14.77444,632.29612
1457.55518,669.46315
5986.28749,649.03151
8963.36345,529.82252
9825.61114,394.59148
9916.01053,276.87952
10192.32471,307.03434
10106.63001,416.72322
8488.49557,444.09586
4660.01015,1343.86697
723.6806,2222.3225
-27.70416,1472.06595
-20.78846,921.38696
-25.5027,608.05018
-16.35,677.05649
-15.64792,699.23493
-15.81255,529.89376
-21.78783,770.80784
-15.36273,1085.23912
-18.77507,1074.04886
-17.06748,848.39572
-15.65068,709.14806
-17.77281,982.8094
-18.78737,1043.22996
-20.45658,856.11221
1531.73593,851.73986
6559.1911,598.55511
9639.02582,280.48612
10865.08081,168.90543
10973.70916,176.19289
11089.53241,157.44709
11098.33467,173.60129
10182.06686,187.90311
