name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost,
286_G_U5,Geothermal,45,18,0.016552787,2,15.39,1148.510449,0,100000,0.001655279,
54111_G_GEN7,Geothermal,3.8,1.52,0.017335918,2,1.2996,96.98532681,0,100000,0.001733592,
286_G_U17,Geothermal,60,24,0.017516006,2,20.52,1531.347265,0,100000,0.001751601,
54689_G_2,Geothermal,5,2,0.01798612,2,1.71,127.6122721,0,100000,0.001798612,
10875_G_GEN8,Geothermal,22.5,9,0.018056738,2,7.695,574.2552245,0,100000,0.001805674,
56832_G_GE3,Geothermal,16,6.4,0.01891001,2,5.472,408.3592708,0,100000,0.001891001,
286_G_U13,Geothermal,65,26,0.019119509,2,22.23,1658.959538,0,100000,0.001911951,
54111_G_GEN6,Geothermal,3,1.2,0.019329408,2,1.026,76.56736327,0,100000,0.001932941,
54111_G_GE12,Geothermal,3.8,1.52,0.019342775,2,1.2996,96.98532681,0,100000,0.001934278,
57475_G_HRP1,Geothermal,49.9,19.96,0.019606322,2,17.0658,1273.570476,0,100000,0.001960632,
50964_G_IND,Geothermal,1.1,0.44,0.019871337,2,0.3762,28.07469987,0,100000,0.001987134,
10763_G_GBU,Geothermal,3.2,1.28,0.021047651,2,1.0944,81.67185416,0,100000,0.002104765,
