name,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost
10034_G_GEN1,85,85,30.92631682,0,85,0,3.6,13170,3.092631682
10034_G_GEN2,30,30,30.9475885,0,30,0,3.6,13170,3.09475885
10128_G_GEN1,0.2,0.2,0.041103923,0,0.2,0,0,14130,9999
10128_G_GEN2,0.2,0.2,0.012510269,0,0.2,0,0,14130,9999
10139_G_GEN1,5.9,5.9,0.033752788,0,5.9,0,0,14130,9999
10139_G_GEN2,5.9,5.9,0.024845768,0,5.9,0,0,14130,9999
10156_G_GEN2,6,6,31.47610206,0,6,0,3.6,13170,3.147610206
10156_G_GEN4,45,45,31.51985993,0,45,0,3.6,13170,3.151985993
10162_G_WWHI,1.3,1.3,0.010268094,0,1.3,0,0,14130,9999
10175_G_0799,2,2,261.4662787,0,2,0,15.45,7340,9999
10213_G_GEN1,38.7,38.7,32.10541372,0,38.7,0,3.6,13170,3.210541372
10213_G_GEN2,38.7,38.7,32.07777533,0,38.7,0,3.6,13170,3.207777533
10213_G_GEN5,39.2,39.2,32.07690966,0,39.2,0,3.6,13170,3.207690966
10213_G_GEN6,9.1,9.1,32.08991287,0,9.1,0,3.6,13170,3.208991287
10213_G_GEN7,40.7,40.7,28.38764157,0,40.7,0,3.6,13170,2.838764157
10213_G_GEN8,5.2,5.2,28.3776728,0,5.2,0,3.6,13170,2.83776728
10222_G_SPP1,1.4,1.4,0.004043616,0,1.4,0,0,14130,9999
10253_G_LGEN,5,5,0.046084918,0,5,0,0,14130,9999
10253_G_UGEN,5,5,0.009840725,0,5,0,0,14130,9999
10282_G_BCHY,4.8,4.8,0.027811595,0,4.8,0,0,14130,9999
10294_G_GTG,73,73,31.39969537,0,73,0,3.6,13170,3.139969537
10294_G_STG,38,38,31.38279541,0,38,0,3.6,13170,3.138279541
10342_G_TG1,35,35,31.07203804,0,35,0,3.6,13170,3.107203804
10342_G_TG2,35,35,31.09243692,0,35,0,3.6,13170,3.109243692
10342_G_TG3,33.5,33.5,31.09507234,0,33.5,0,3.6,13170,3.109507234
10405_G_GEN1,22,22,36.14571855,0,22,0,3.6,13170,3.614571855
10405_G_GEN2,11.8,11.8,36.1753409,0,11.8,0,3.6,13170,3.61753409
10458_G_GEN1,29.9,29.9,0.026803486,0,29.9,0,0,14130,9999
10479_G_T101,4,4,0.032194322,0,4,0,0,100000,0.003219432
10479_G_T102,4,4,0.034293463,0,4,0,0,100000,0.003429346
10479_G_T103,4,4,0.006737358,0,4,0,0,100000,0.000673736
10480_G_GEN1,3.2,3.2,0.036684544,0,3.2,0,0,100000,0.003668454
10480_G_GEN2,3.2,3.2,0.002840351,0,3.2,0,0,100000,0.000284035
10481_G_1,3,3,0.046832458,0,3,0,0,100000,0.004683246
10481_G_2,3,3,0.026779564,0,3,0,0,100000,0.002677956
10481_G_3,3,3,0.015946892,0,3,0,0,100000,0.001594689
10623_G_GEN1,22.1,22.1,34.03196207,0,22.1,0,3.6,13170,3.403196207
10623_G_GEN2,1.5,1.5,34.05605994,0,1.5,0,3.6,13170,3.405605994
10631_G_GEN1,42,42,0.045110922,0,42,0,0,100000,0.004511092
10632_G_GEN1,42,42,0.041308611,0,42,0,0,100000,0.004130861
10634_G_GEN1,42,42,0.021399516,0,42,0,0,100000,0.002139952
10706_G_GEN1,3,3,0.006862116,0,3,0,0,14130,9999
10707_G_GEN1,5,5,0.040193341,0,5,0,0,14130,9999
10708_G_GEN1,1.1,1.1,0.00923234,0,1.1,0,0,14130,9999
10709_G_GEN1,1.1,1.1,0.04999106,0,1.1,0,0,14130,9999
10759_G_GEN1,47.5,47.5,0.009857454,0,47.5,0,0,100000,0.000985745
10763_G_GBU,3.2,3.2,0.018391359,0,3.2,0,0,100000,0.001839136
10763_G_GEN1,13.5,13.5,0.042226642,0,13.5,0,0,100000,0.004222664
10873_G_GEN1,27.5,27.5,0.000853155,0,27.5,0,0,100000,8.53E-05
10873_G_GEN2,27,27,0.046855475,0,27,0,0,100000,0.004685548
10873_G_GEN3,26.7,26.7,0.023345368,0,26.7,0,0,100000,0.002334537
10874_G_GEN4,30,30,0.043490119,0,30,0,0,100000,0.004349012
10874_G_GEN5,23.4,23.4,0.010441867,0,23.4,0,0,100000,0.001044187
10874_G_GEN6,26.9,26.9,0.004952943,0,26.9,0,0,100000,0.000495294
10875_G_GEN7,21.8,21.8,0.000575132,0,21.8,0,0,100000,5.75E-05
10875_G_GEN8,22.5,22.5,0.009230298,0,22.5,0,0,100000,0.00092303
