name,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost
55983_G_TG51,46.0,18.4,0.038383433,2,15.732000000000001,1174.032904,0.0,100000,0.0038383429999999997
10875_G_GEN9,23.5,9.4,0.038720682,2,8.037,599.777679,0.0,100000,0.0038720679999999998
7369_G_4,48.0,19.2,0.03897831,2,16.416,1225.077812,0.0,100000,0.0038978309999999996
10631_G_GEN1,42.0,16.8,0.039300199999999993,2,14.364,1071.943086,0.0,100000,0.00393002
54111_G_GEN14,12.0,4.8,0.039539037,2,4.104,306.2694531,0.0,100000,0.003953904
54111_G_GE10,3.8,1.52,0.040343945,2,1.2996,96.98532681,0.0,100000,0.004034395
7368_G_1,27.0,10.8,0.04150904,2,9.234,689.1062695,0.0,100000,0.004150904
10479_G_T103,4.0,1.6,0.041554241,2,1.368,102.0898177,0.0,100000,0.0041554240000000004
10874_G_GEN4,30.0,12.0,0.041957832,2,10.26,765.6736327000001,0.0,100000,0.004195783
54724_G_OEC21,11.5,4.6,0.042782916,2,3.9330000000000003,293.50822589999996,0.0,100000,0.004278292
54689_G_1,38.0,15.2,0.042826067999999995,2,12.995999999999999,969.8532681,0.0,100000,0.004282607
10879_G_GEN3,2.1,0.84,0.044019564000000004,2,0.7182,53.59715429,0.0,100000,0.004401955999999999
10481_G_1,3.0,1.2,0.045289777,2,1.026,76.56736327,0.0,100000,0.0045289779999999995
52158_G_GEN1,9.0,3.6,0.045569253,2,3.0780000000000003,229.7020898,0.0,100000,0.004556925
54038_G_GEN1,13.5,5.4,0.045919290999999994,2,4.617,344.5531347,0.0,100000,0.004591929
286_G_U6,45.0,18.0,0.04616394099999999,2,15.39,1148.510449,0.0,100000,0.004616394
50766_G_ITLU1,11.5,4.6,0.046227709000000006,2,3.9330000000000003,293.50822589999996,0.0,100000,0.0046227709999999995
54111_G_GE11,3.8,1.52,0.046732398,2,1.2996,96.98532681,0.0,100000,0.00467324
286_G_U7,40.0,16.0,0.047422015,2,13.68,1020.8981769999999,0.0,100000,0.004742201
50766_G_ITLU2,8.5,3.4,0.047658369000000006,2,2.907,216.9408626,0.0,100000,0.004765837
54111_G_GEN8,3.8,1.52,0.047998526,2,1.2996,96.98532681,0.0,100000,0.004799853
54689_G_3,2.5,1.0,0.048816435,2,0.855,63.80613606,0.0,100000,0.004881644
50066_G_UNT2,50.0,20.0,0.049599065,2,17.1,1276.1227210000002,0.0,100000,0.004959906
50388_B_K1,8.5,3.4,20.84548625,6,2.975,867.7634504,4.47,37800,2.084548625
50388_B_K2,8.5,3.4,20.86717861,6,2.975,867.7634504,4.47,37800,2.086717861
55084_G_GE1,247.4,98.96,22.96297771,4,78.6732,25257.0209,3.6,13170,0.0
55217_G_CTG2,165.0,66.0,25.43260969,4,52.47,16844.819919999998,3.6,13170,0.0
55217_G_CTG1,165.0,66.0,25.44991511,4,52.47,16844.819919999998,3.6,13170,0.0
55217_G_STG3,237.0,94.8,25.47072506,4,75.366,24195.286790000002,3.6,13170,0.0
55970_G_3,166.0,66.4,26.59917507,4,52.788000000000004,16946.90974,3.6,13170,0.0
55970_G_1,171.0,68.4,26.60619383,4,54.378,17457.35883,3.6,13170,0.0
404_G_5,102.0,40.8,26.60666583,4,32.436,10413.161409999999,3.6,13170,0.0
55985_G_CTG1,170.0,68.0,26.6146484,4,54.06,17355.26901,3.6,13170,0.0
422_G_GT5,68.0,27.2,26.61528118,4,43.452,6942.107603,3.6,13170,0.0
55970_G_2,166.0,66.4,26.61893967,4,52.788000000000004,16946.90974,3.6,13170,0.0
