name,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost
902_G_1,10,4,0.001064604,2,3.42,255.2245442,0,100000,0.00010646
54689_G_1,38,15.2,0.001977888,2,12.996,969.8532681,0,100000,0.000197789
286_G_U7,40,16,0.002341131,2,13.68,1020.898177,0,100000,0.000234113
286_G_U11,68,27.2,0.002891458,2,23.256,1735.526901,0,100000,0.000289146
286_G_U5,45,18,0.003584109,2,15.39,1148.510449,0,100000,0.000358411
56832_G_GE2,16,6.4,0.003787218,2,5.472,408.3592708,0,100000,0.000378722
54111_G_GEN8,3.8,1.52,0.003961437,2,1.2996,96.98532681,0,100000,0.000396144
10481_G_2,3,1.2,0.004421214,2,1.026,76.56736327,0,100000,0.000442121
54996_G_4100,44,17.6,0.005031074,2,15.048,1122.987995,0,100000,0.000503107
54724_G_OEC21,11.5,4.6,0.005097842,2,3.933,293.5082259,0,100000,0.000509784
7369_G_3,30.1,12.04,0.005486228,2,10.2942,768.2258782,0,100000,0.000548623
10879_G_GEN2,4,1.6,0.005663433,2,1.368,102.0898177,0,100000,0.000566343
56832_G_GE3,16,6.4,0.005767179,2,5.472,408.3592708,0,100000,0.000576718
10879_G_GEN1,10,4,0.005787861,2,3.42,255.2245442,0,100000,0.000578786
54111_G_GE11,3.8,1.52,0.006116633,2,1.2996,96.98532681,0,100000,0.000611663
54724_G_OEC22,8.5,3.4,0.00777703,2,2.907,216.9408626,0,100000,0.000777703
10875_G_GEN8,22.5,9,0.009785922,2,7.695,574.2552245,0,100000,0.000978592
55984_G_TG21,10.9,4.36,0.009846098,2,3.7278,278.1947532,0,100000,0.00098461
50964_G_SYN,1.1,0.44,0.009903723,2,0.3762,28.07469987,0,100000,0.000990372
286_G_U20,50,20,0.009962192,2,17.1,1276.122721,0,100000,0.000996219
10479_G_T101,4,1.6,0.01007388,2,1.368,102.0898177,0,100000,0.001007388
52158_G_GEN2,9,3.6,0.010123573,2,3.078,229.7020898,0,100000,0.001012357
286_G_U13,65,26,0.010654588,2,22.23,1658.959538,0,100000,0.001065459
54111_G_GEN14,12,4.8,0.012780341,2,4.104,306.2694531,0,100000,0.001278034
286_G_U16,60,24,0.012785901,2,20.52,1531.347265,0,100000,0.00127859
50964_G_IND,1.1,0.44,0.013230454,2,0.3762,28.07469987,0,100000,0.001323045
10631_G_GEN1,42,16.8,0.013327825,2,14.364,1071.943086,0,100000,0.001332782
54111_G_GEN5,3,1.2,0.014125113,2,1.026,76.56736327,0,100000,0.001412511
10874_G_GEN5,23.4,9.36,0.015046773,2,8.0028,597.2254335,0,100000,0.001504677
54111_G_GE13,2,0.8,0.01522533,2,0.684,51.04490885,0,100000,0.001522533
54111_G_GEN7,3.8,1.52,0.015435411,2,1.2996,96.98532681,0,100000,0.001543541
10878_G_EE11,10,4,0.016841194,2,3.42,255.2245442,0,100000,0.001684119
50210_G_GEN2,6,2.4,0.017519512,2,2.052,153.1347265,0,100000,0.001751951
10634_G_GEN1,42,16.8,0.017770944,2,14.364,1071.943086,0,100000,0.001777094
54689_G_3,2.5,1,0.0180251,2,0.855,63.80613606,0,100000,0.00180251
10759_G_GEN1,47.5,19,0.018611232,2,16.245,1212.316585,0,100000,0.001861123
10763_G_GEN1,13.5,5.4,0.020671506,2,4.617,344.5531347,0,100000,0.002067151
286_G_U12,51,20.4,0.020799454,2,17.442,1301.645176,0,100000,0.002079945
7368_G_1,27,10.8,0.021089189,2,9.234,689.1062695,0,100000,0.002108919
50210_G_GEN1,23.5,9.4,0.021535705,2,8.037,599.777679,0,100000,0.002153571
10481_G_1,3,1.2,0.021864552,2,1.026,76.56736327,0,100000,0.002186455
10873_G_GEN3,26.7,10.68,0.022142727,2,9.1314,681.4495331,0,100000,0.002214273
10874_G_GEN6,26.9,10.76,0.022396154,2,9.1998,686.554024,0,100000,0.002239615
7368_G_2,27,10.8,0.023261879,2,9.234,689.1062695,0,100000,0.002326188
54111_G_GEN1,3,1.2,0.023942432,2,1.026,76.56736327,0,100000,0.002394243
7369_G_4,48,19.2,0.024370532,2,16.416,1225.077812,0,100000,0.002437053
54038_G_GEN1,13.5,5.4,0.025005267,2,4.617,344.5531347,0,100000,0.002500527
10874_G_GEN4,30,12,0.026670487,2,10.26,765.6736327,0,100000,0.002667049
10479_G_T103,4,1.6,0.027409705,2,1.368,102.0898177,0,100000,0.00274097
286_G_U17,60,24,0.027561153,2,20.52,1531.347265,0,100000,0.002756115
286_G_U14,60,24,0.027691802,2,20.52,1531.347265,0,100000,0.00276918
54111_G_GEN3,3,1.2,0.02855952,2,1.026,76.56736327,0,100000,0.002855952
286_G_U6,45,18,0.029194423,2,15.39,1148.510449,0,100000,0.002919442
10481_G_3,3,1.2,0.029439135,2,1.026,76.56736327,0,100000,0.002943913
54111_G_GE10,3.8,1.52,0.029636333,2,1.2996,96.98532681,0,100000,0.002963633
50066_G_UNT1,50,20,0.030307033,2,17.1,1276.122721,0,100000,0.003030703
286_G_U8,40,16,0.03079511,2,13.68,1020.898177,0,100000,0.003079511
54111_G_GEN6,3,1.2,0.032511353,2,1.026,76.56736327,0,100000,0.003251135
10632_G_GEN1,42,16.8,0.032564444,2,14.364,1071.943086,0,100000,0.003256444
54111_G_GEN4,3,1.2,0.032971913,2,1.026,76.56736327,0,100000,0.003297191
56832_G_GE1,16,6.4,0.034505426,2,5.472,408.3592708,0,100000,0.003450543
54111_G_GE12,3.8,1.52,0.035327336,2,1.2996,96.98532681,0,100000,0.003532734
