,demand,date,time,EVdemand,demandW/OEV,demandZEV,demand1/2ZEV,demand3/4ZEV
0,22443,20180101,0,204.38844000000003,21318.86358,38487.49254000001,29903.178060000002,34195.335300000006
1,23613,20180101,1,162.34799999999998,22720.086,36357.318,29538.701999999997,32948.009999999995
2,26544,20180101,2,126.07116000000002,25850.60862,36440.58606,31145.59734,33793.0917
3,26696,20180101,3,102.35651999999999,26133.03914,34730.98682,30432.01298,32581.4999
4,25926,20180101,4,91.35912,25423.52484,33097.69092,29260.60788,31179.1494
5,25107,20180101,5,110.1138,24501.3741,33750.933300000004,29126.153700000003,31438.5435
6,24215,20180101,6,181.11396000000002,23218.87322,38432.44586000001,30825.65954,34629.0527
7,23241,20180101,7,341.0701199999999,21365.11434,50015.00442,35690.05938,42852.531899999994
8,22165,20180101,8,508.5361200000001,19368.051339999998,62085.08542,40726.56838,51405.8269
9,21121,20180101,9,526.7767200000001,18223.728039999998,62472.97252000001,40348.35028,51410.6614
10,20525,20180101,10,509.48352000000006,17722.84064,60519.45632,39121.14848,49820.3024
11,19976,20180101,11,490.36380000000014,17278.9991,58469.55830000001,37874.27870000001,48171.918500000014
12,19617,20180101,12,493.9575599999999,16900.23342,58392.668459999986,37646.450939999995,48019.5597
13,19640,20180101,13,487.01004000000023,16961.444779999998,57870.28814000002,37415.866460000005,47643.07730000001
14,20061,20180101,14,478.89312000000024,17427.08784,57654.10992000002,37540.598880000005,47597.35440000001
15,20670,20180101,15,521.46084,17801.96538,61604.67594,39703.32066,50653.9983
16,20662,20180101,16,558.8269199999999,17588.45194,64529.91321999999,41059.18257999999,52794.54789999999
17,20578,20180101,17,620.3554799999997,17166.04486,69275.90517999997,43220.97501999999,56248.440099999985
18,20294,20180101,18,637.4464800000001,16788.04436,70333.54868,43560.79652,56947.172600000005
19,20126,20180101,19,578.91192,16941.98444,65570.58572,41256.28508,53413.4354
20,20191,20180101,20,466.77096,17623.759720000002,56832.52036,37228.14004,47030.3302
21,20235,20180101,21,377.1402,18160.728900000002,49840.5057,34000.6173,41920.561499999996
22,20499,20180101,22,311.76683999999995,18784.28238,44972.696939999994,31878.48966,38425.59329999999
23,20868,20180101,23,247.78248,19505.19636,40318.92468,29912.06052,35115.4926
24,21248,20180102,0,204.38844000000003,20123.86358,37292.49254000001,28708.178060000002,33000.335300000006
25,22700,20180102,1,162.34799999999998,21807.086,35444.318,28625.701999999997,32035.01
26,25625,20180102,2,126.07116000000002,24931.60862,35521.58606,30226.59734,32874.0917
27,26003,20180102,3,102.35651999999999,25440.03914,34037.98682,29739.01298,31888.4999
28,25649,20180102,4,91.35912,25146.52484,32820.69092,28983.60788,30902.1494
29,25004,20180102,5,110.1138,24398.3741,33647.933300000004,29023.153700000003,31335.5435
30,23917,20180102,6,181.11396000000002,22920.87322,38134.44586000001,30527.65954,34331.0527
31,22442,20180102,7,341.0701199999999,20566.11434,49216.00442,34891.05938,42053.531899999994
32,20856,20180102,8,508.5361200000001,18059.051339999998,60776.08542,39417.56838,50096.8269
33,20052,20180102,9,526.7767200000001,17154.728039999998,61403.97252000001,39279.35028,50341.6614
34,19373,20180102,10,509.48352000000006,16570.84064,59367.45632,37969.14848,48668.3024
