Energy.Source.1,Technology,Utility.ID,Generator.ID,Prime.Mover,Nameplate.Capacity..MW.,Nameplate.Power.Factor,Summer.Capacity..MW.,Winter.Capacity..MW.,Minimum.Load..MW.,Planned.Retirement.Month,Planned.Retirement.Year,VOM,fuelTypes,unit,heatRateLow,heatRateHigh,fuelCost,Notes,capacityQuantile,capacityQuan
DFO,Petroleum Liquids,11161,GEN5,IC,1,0.8,1,1,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.038834951,C
DFO,Petroleum Liquids,58893,EG7B,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,58893,22B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,58893,17A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,58893,EG9A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,61078,G-6,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
DFO,Petroleum Liquids,17609,14,IC,1.4,0.8,1.4,1.4,1.1,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.145631068,C
DFO,Petroleum Liquids,58893,18A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,17609,7,IC,1,0.8,1,1,0.8,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.038834951,C
DFO,Petroleum Liquids,12745,1,GT,71.2,0.9,53.5,53.5,20,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",1,A
DFO,Petroleum Liquids,58893,21B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,19798,JH4,IC,6,0.8,3.6,4,3.6,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.941747573,A
DFO,Petroleum Liquids,58893,EG9B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,61078,G-5,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
DFO,Petroleum Liquids,61087,G-9,IC,3,1,3,3,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.844660194,A
DFO,Petroleum Liquids,60608,IG#2,IC,0.9,0.9,0.7,0.7,0.3,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.029126214,C
DFO,Petroleum Liquids,60608,OG#1,IC,1.3,0.9,1,1,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.13592233,C
DFO,Petroleum Liquids,58893,EG11A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,61088,G-4,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
DFO,Petroleum Liquids,61089,G-3,IC,1,1,1,1,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.038834951,C
DFO,Petroleum Liquids,58893,EG8A,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,17609,15,IC,2.8,0.8,2.8,2.8,2.2,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.834951456,A
DFO,Petroleum Liquids,58893,EG12A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,17609,12,IC,1.6,0.8,1.6,1.6,1.3,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.194174757,C
DFO,Petroleum Liquids,58893,EG15A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,61078,G-4,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
DFO,Petroleum Liquids,61086,G-3,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
DFO,Petroleum Liquids,58893,20A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,17609,10,IC,1.1,0.8,1.1,1.1,0.9,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.116504854,C
DFO,Petroleum Liquids,61088,G-2,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
DFO,Petroleum Liquids,61088,G-3,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
