,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,MCP,system_cost,supply,demand,customer_cost
15,234.0,2323.0,10544.0,10068.0,6078.0,6154.0,340.0,60.0,219.0,10.0,4.0,85.0,2792.0,114.0,101.0,141.0,5460.0,5803.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0200000000000005,124741.1737,50653.999999999985,50653.9983,304937.07999999996
16,234.0,2323.0,10544.0,10068.0,6078.0,6154.0,340.0,60.0,219.0,10.0,4.0,85.0,2792.0,114.0,101.0,141.0,5460.0,6871.0,237.0,53.0,161.0,42.0,5.0,115.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43,139979.45090000003,52795.0,52794.54789999999,497856.85
17,234.0,2323.0,10544.0,10068.0,6078.0,6154.0,340.0,60.0,219.0,10.0,4.0,85.0,2792.0,114.0,101.0,141.0,5460.0,6871.0,237.0,53.0,161.0,42.0,5.0,115.0,3746.0,13.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,173369.67820000002,56248.0,56248.44009999999,691850.4
18,234.0,2323.0,10544.0,10068.0,6078.0,6154.0,340.0,60.0,219.0,10.0,4.0,85.0,2792.0,114.0,101.0,141.0,5460.0,6871.0,237.0,53.0,161.0,42.0,5.0,115.0,3746.0,13.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,181967.37820000004,56947.0,56947.17260000001,700448.1000000001
19,234.0,2323.0,10544.0,10068.0,6078.0,6154.0,340.0,60.0,219.0,10.0,4.0,85.0,2792.0,114.0,101.0,141.0,5460.0,6871.0,237.0,53.0,161.0,42.0,5.0,115.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43,145807.19090000002,53413.0,53413.4354,503684.58999999997
20,234.0,2323.0,10544.0,10068.0,6078.0,6154.0,340.0,60.0,219.0,10.0,4.0,85.0,2792.0,114.0,101.0,141.0,5460.0,2189.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0200000000000005,102930.71370000001,47031.000000000015,47030.3302,283126.6200000001
21,234.0,2323.0,10544.0,10068.0,6078.0,6154.0,340.0,60.0,219.0,10.0,4.0,85.0,2792.0,114.0,101.0,141.0,2653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,72499.3337,41920.0,41920.5615,247328.00000000003
22,234.0,2323.0,10544.0,10068.0,6078.0,6154.0,340.0,60.0,219.0,10.0,4.0,85.0,2307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,53642.85999999999,38425.99999999999,38425.593299999986,109898.35999999997
23,234.0,2323.0,10544.0,10068.0,6078.0,5869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,44572.8,35116.0,35115.4926,84278.40000000001
24,234.0,2323.0,10544.0,10068.0,6078.0,3754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,39496.8,33001.0,33000.33530000001,79202.40000000001
