netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
809.4388783095587,0.0,0.0,136.3
407.7238454708741,0.0,0.0,0.0
419.8605189255738,0.0,0.0,137.79000000000002
1465.7261538996129,0.0,0.0,139.35000000000002
1662.3284994146902,0.0,0.0,143.015
1793.0002948111473,0.0,0.0,148.95000000000007
1634.1355714522629,0.0,0.0,155.57500000000007
1834.590033924687,0.0,0.0,161.90500000000003
1841.5353018420792,0.0,0.0,166.85
761.3669635899404,0.0,0.0,169.00999999999996
553.8357854201723,0.0,0.0,167.91
0.0,0.0,0.0,165.71
0.0,0.0,0.0,159.81000000000003
466.6190418437299,0.0,0.0,149.01500000000001
547.1958799177444,0.0,0.0,136.4
512.8264708127718,0.0,0.0,126.80500000000002
766.6334544129937,0.0,0.0,120.89
