,Capacity(MWh)
331,53996.745659363325
332,53505.456575511984
333,54920.9789726679
334,59878.54700895877
335,64424.58924139272
336,65503.608379553494
337,66646.31200768494
338,64491.78131084544
339,64098.0555139871
340,61134.1508516682
341,58549.61283270306
342,64046.09949290947
343,65526.298034327905
344,66190.76512245576
345,64687.00003139241
346,64203.61173402457
347,60203.21733476456
348,58932.59666739767
349,66066.57488641998
350,67732.12708109217
351,68310.8776956278
352,66830.898377927
353,66075.23422326626
354,61896.50132971657
355,60965.129365377674
356,66311.66700272712
357,62048.97142532624
358,58754.14856124918
359,64637.6746949263
360,63719.346541786224
361,60254.625296548125
362,59998.352770642
363,63115.056364147014
364,60575.56881915425
