DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
511694.1514281791,0.0,0.0,15615.845792000002,-496078.3056361791
604316.35088865,0.0,0.0,14598.680000000008,-589717.67088865
551544.5775765949,0.0,0.0,13807.36,-537737.2175765949
480736.08677964564,0.0,0.0,15604.516581804653,-465131.570197841
528041.7150264275,0.0,0.0,16245.800000000003,-511795.91502642754
627086.8996923728,0.0,0.0,16224.680000000002,-610862.2196923727
487441.1042289867,0.0,0.0,13565.773462603047,-473875.3307663837
431593.49687746726,0.0,0.0,15344.44,-416249.05687746726
491203.2800566673,0.0,0.0,14638.480000000003,-476564.8000566673
566532.917675073,0.0,0.0,12057.836109569627,-554475.0815655034
497623.6170633425,0.0,0.0,15986.105764958404,-481637.51129838405
504049.89822899067,0.0,0.0,15534.525792,-488515.37243699067
502145.4752842941,0.0,0.0,14443.52,-487701.9552842941
530433.4965191195,0.0,0.0,14812.280000000013,-515621.21651911945
533269.181306759,0.0,0.0,13752.005792,-519517.17551475903
514059.27206718177,0.0,0.0,13223.571213770574,-500835.70085341117
461381.2608720878,0.0,0.0,13274.640000000007,-448106.6208720878
478409.48913970287,0.0,0.0,14485.045792,-463924.44334770285
494775.95679039287,0.0,0.0,15152.440000000006,-479623.51679039287
519066.41570899275,0.0,0.0,15490.145764958404,-503576.26994403434
508102.61623098096,0.0,0.0,14335.005792,-493767.610438981
455064.05212288897,0.0,0.0,15066.800000000003,-439997.252122889
432381.38969098614,0.0,0.0,12996.925792000011,-419384.4638989861
527843.5581725934,0.0,0.0,12925.520000000002,-514918.03817259334
