netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
237.81453000000002,0.0,0.0,135.36
636.0854230415976,0.0,0.0,129.76
654.9085499794583,0.0,0.0,127.12
540.0002131015079,0.0,0.0,128.585
693.0690290224901,0.0,0.0,133.775
361.40896351225217,0.0,0.0,140.45999999999998
753.8544257008383,1.0178402590099722e-13,0.0,0.0
1034.0254720655535,0.0,0.0,153.10000000000002
1272.5212981371012,0.0,0.0,0.0
1489.1664091510402,0.0,0.0,167.32500000000007
1582.3587864970561,0.0,0.0,175.34
1482.310553773637,0.0,0.0,184.08
1748.376250882037,0.0,0.0,192.415
2355.236633841976,0.0,0.0,199.525
2288.8720669948743,0.0,0.0,206.255
3625.834885633266,0.0,0.0,210.095
153.66880507854438,0.0,19591.720545,0.0
8274.229787901331,405.1758352317668,0.0,207.06500000000003
8473.308431002679,405.62141650438656,0.0,200.465
7215.721045532323,412.3736004573285,0.0,192.36500000000004
163.6805834518431,976.7728360035886,17806.712661,0.0
6219.996792159767,771.0539498078776,0.0,165.75000000000014
6807.619967060895,810.6047220741767,0.0,152.09877088999997
7445.132874690419,669.3075790711888,17441.597412,0.0
