Hour,pr_e,pr_fre_u,pr_fre_d
0,32.40283358753913,2.6853193650087115,12.0
1,32.40283358753913,2.668058799181161,12.0
2,32.40283358753913,2.6660749703112274,12.0
3,32.40283358753913,2.6660749703112274,12.0
4,32.40283358753913,2.6843548631021843,12.0
5,32.40283358753913,2.7008314541483154,12.0
6,32.40283358753913,2.748044726954923,2.6595900715582688
7,32.40283358753913,2.7465101517190664,12.0
8,32.40283358753913,2.699937345458107,2.6638171251961857
9,32.40283358753913,2.660691992151889,12.0
10,32.40283358753913,2.54717333503316,12.0
11,32.40283358753913,2.5466437961516224,12.0
12,32.40283358753913,2.5466437961516224,12.0
13,32.40283358753913,2.5466437961516224,12.0
14,32.40283358753913,2.5466437961516224,12.0
15,32.40283358753913,2.6605399918372683,12.0
16,32.40283358753913,2.6911499784796886,12.0
17,32.40283358753913,2.8802833587539127,12.0
18,32.40283358753913,2.8776190356555844,12.0
19,32.40283358753913,2.8802833587539127,12.0
20,31.99924611268811,2.804502262853616,12.0
21,31.99924611268811,2.7829619220830013,12.0
22,31.99924611268811,2.7200231321570865,12.0
23,31.99924611268811,2.699937345458107,12.0
