netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,6151.15,0.0,600.3979260092301
0.0,6154.16,0.0,530.6671558261461
0.0,6166.2,0.0,585.3183889130348
0.0,6157.17,0.0,882.3801813305948
0.0,6063.215,0.0,5057.299251014091
0.0,5903.9,0.0,5703.808728819397
0.0,5914.22,0.0,0.0
0.0,5735.505515561468,0.0,6755.725372340599
0.0,6502.03,0.0,0.0
0.0,6720.9,0.0,4932.239929989982
0.0,6816.4890000000005,0.0,4572.09082785348
0.0,6889.03,0.0,5749.284196463687
0.0,6702.410000000001,0.0,5399.902099212656
0.0,6599.242252747527,0.0,6430.216922152488
0.0,6585.936606759352,0.0,6533.183839946171
0.0,6133.323603466635,0.0,8150.642638646244
0.0,6016.13,0.0,9249.805145560378
0.0,5560.261965397248,0.0,6684.392435825051
0.0,6079.34,0.0,7708.4977720282695
0.0,5881.6691273678525,0.0,4798.663697861843
0.0,6107.72,0.0,5944.301469070622
0.0,5943.449223202408,0.0,5680.211558196985
0.0,6054.4,0.0,10551.61464412617
2.0566302478729703,6062.172938287596,0.0,39651.39667789107
