Hour,pr_e,pr_fre_u,pr_fre_d
0,46.53808767760486,2.8054551287410487,2.54717333503316
1,46.53808767760486,2.7752393394511383,2.54717333503316
2,46.53808767760486,2.7726193490191693,2.54717333503316
3,46.53808767760486,2.7478489029333817,2.5466437961516224
4,46.53808767760486,2.748044726954923,2.5466437961516224
5,46.53808767760486,2.7852353291355563,2.54717333503316
6,46.53808767760486,2.8802833587539127,2.6594677462018343
7,46.53808767760486,2.917530102375523,2.6594677462018343
8,46.53808767760486,2.9180343039180285,2.659482393782324
9,46.53808767760486,2.8816614117451014,2.6595900715582688
10,46.53808767760486,2.804380426787765,2.6595629872254034
11,46.53808767760486,2.804374999153381,2.6595629872254034
12,46.53808767760486,2.8024042245225425,2.659482393782324
13,46.53808767760486,2.8054551287410487,2.659482393782324
14,46.53808767760486,2.881397436470179,2.6595629872254034
15,46.53808767760486,3.0643966279417603,2.6595900715582688
16,59.291361470598616,3.98489331200948,2.6595900715582688
17,65.98832579636397,5.180418212544947,2.6605399918372683
18,65.98832579636397,5.180418212544947,2.6605399918372683
19,65.98832579636397,5.180418212544947,2.660198171681784
20,65.93036297419548,5.180418212544947,2.6595900715582688
21,56.27418212544946,5.180418212544947,2.6595900715582688
22,38.00307922426087,3.1558791085919826,2.659482393782324
23,38.00307922426087,2.917530102375523,2.6594677462018343
