netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
115.76244464047964,21.070000000000004,0.0,47.07675000000002
76.7710429237276,3.01,0.0,45.37925
197.0485841525906,24.08,0.0,44.7615
208.68052685596933,27.09,0.0,45.70125
136.64196109948207,3.01,0.0,48.501250000000006
159.13595497294062,41.66700000000314,0.0,51.833250000000014
236.98664453768765,29.326000000000455,0.0,0.0
224.93276048151617,63.21,0.0,55.779500000000006
410.4298293058422,35.26000000000235,0.0,0.0
467.85152611715756,70.13300000000226,0.0,59.96550000000001
400.79930762818236,24.08,0.0,61.999
635.0040657309872,46.44,0.0,64.53825
527.2635702354588,8.127000000003239,0.0,67.57975
662.8492180834271,21.070000000000004,0.0,70.30625
1028.1863145158545,19.178000000007465,0.0,72.548
56.09125219020716,6.02,0.0,73.49125000000001
15.479999999999997,18.53300000000385,0.0,73.03517121205019
3.4503432426105753,1515.6503280787208,0.0,71.498
13.963678423447229,1157.0695679885428,0.0,69.79175000000008
0.0,1166.0102230383334,0.0,67.172
0.0,0.0,0.0,62.34025000000003
0.0,0.0,0.0,56.55825
106.21673002399508,0.0,0.0,51.8315
608.058833796149,0.0,0.0,48.48025000000001
