netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,8514.0,0.0,10.134056225567976
0.0,8514.0,0.0,15.839895699952388
0.0,8514.0,0.0,9.053121109631558
0.0,8514.0,0.0,407.94102108787416
0.0,8428.86,0.0,7986.203901854126
0.0,8149.789999999999,0.0,9479.09546433524
0.0,8017.350000000001,0.0,0.0
0.0,7527.795,0.0,11362.423898467669
0.0,8055.190000000001,0.0,0.0
0.0,8031.54,0.0,5650.08150437571
0.0,8038.635,0.0,5731.916918114193
0.0,7974.78,0.0,5692.334578241117
0.0,7918.02,0.0,5588.928684508301
0.0,7790.31,0.0,5713.687294693885
0.0,7804.5,0.0,5706.862470636208
0.0,7329.135,0.0,5751.613315040025
0.0,7598.745,0.0,5791.7526602245725
0.0,7357.515,0.0,5535.762179091339
0.0,8074.11,0.0,6005.227248153288
0.0,7847.069999999999,0.0,5573.807313922881
0.0,8334.26,0.0,5860.761519898549
0.0,8173.440000000001,0.0,5697.374321318231
0.0,8450.145,0.0,17759.947801304093
0.0,8514.0,0.0,75651.41166133163
