"","OPR_DT","OPR_HR","OPR_INTERVAL","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","TRADING_HUB","RENEWABLE_TYPE","LABEL","XML_DATA_ITEM","MARKET_RUN_ID_POS","RENEW_POS","MW","MARKET_RUN_ID","GROUP"
"27","2019-10-16",16,0,"2019-10-16T22:00:00-00:00","2019-10-16T23:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,451.51,"DAM",2
"28","2019-10-16",15,0,"2019-10-16T21:00:00-00:00","2019-10-16T22:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,357.55,"DAM",2
"29","2019-10-16",14,0,"2019-10-16T20:00:00-00:00","2019-10-16T21:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,273.84,"DAM",2
"30","2019-10-16",13,0,"2019-10-16T19:00:00-00:00","2019-10-16T20:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,247.75,"DAM",2
"31","2019-10-16",12,0,"2019-10-16T18:00:00-00:00","2019-10-16T19:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,233.05,"DAM",2
"32","2019-10-16",11,0,"2019-10-16T17:00:00-00:00","2019-10-16T18:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,262.15,"DAM",2
"33","2019-10-16",10,0,"2019-10-16T16:00:00-00:00","2019-10-16T17:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,302.47,"DAM",2
"34","2019-10-16",9,0,"2019-10-16T15:00:00-00:00","2019-10-16T16:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,342.58,"DAM",2
"35","2019-10-16",8,0,"2019-10-16T14:00:00-00:00","2019-10-16T15:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,374.13,"DAM",2
"36","2019-10-16",7,0,"2019-10-16T13:00:00-00:00","2019-10-16T14:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,345.21,"DAM",2
"37","2019-10-16",5,0,"2019-10-16T11:00:00-00:00","2019-10-16T12:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,319.49,"DAM",2
"38","2019-10-16",4,0,"2019-10-16T10:00:00-00:00","2019-10-16T11:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,341.57,"DAM",2
"39","2019-10-16",3,0,"2019-10-16T09:00:00-00:00","2019-10-16T10:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,348.43,"DAM",2
"40","2019-10-16",2,0,"2019-10-16T08:00:00-00:00","2019-10-16T09:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,355.07,"DAM",2
"41","2019-10-16",24,0,"2019-10-17T06:00:00-00:00","2019-10-17T07:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,802,"DAM",2
"42","2019-10-16",23,0,"2019-10-17T05:00:00-00:00","2019-10-17T06:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,873.25,"DAM",2
