,OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
7,3/30/19,8,0,2019-03-30T14:00:00-00:00,2019-03-30T15:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,298.27,DAM,1
35,3/30/19,8,0,2019-03-30T14:00:00-00:00,2019-03-30T15:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,122.18,DAM,2
62,3/30/19,8,0,2019-03-30T14:00:00-00:00,2019-03-30T15:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1660.11,DAM,3
83,3/30/19,8,0,2019-03-30T14:00:00-00:00,2019-03-30T15:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,458.42,DAM,4
106,3/30/19,8,0,2019-03-30T14:00:00-00:00,2019-03-30T15:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,233.13,DAM,5
8,3/30/19,9,0,2019-03-30T15:00:00-00:00,2019-03-30T16:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,930.19,DAM,1
34,3/30/19,9,0,2019-03-30T15:00:00-00:00,2019-03-30T16:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,117.76,DAM,2
58,3/30/19,9,0,2019-03-30T15:00:00-00:00,2019-03-30T16:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,4655.14,DAM,3
84,3/30/19,9,0,2019-03-30T15:00:00-00:00,2019-03-30T16:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,285.03,DAM,4
107,3/30/19,9,0,2019-03-30T15:00:00-00:00,2019-03-30T16:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,809.09,DAM,5
9,3/30/19,10,0,2019-03-30T16:00:00-00:00,2019-03-30T17:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1324.73,DAM,1
33,3/30/19,10,0,2019-03-30T16:00:00-00:00,2019-03-30T17:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,117.32,DAM,2
54,3/30/19,10,0,2019-03-30T16:00:00-00:00,2019-03-30T17:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,6622.01,DAM,3
85,3/30/19,10,0,2019-03-30T16:00:00-00:00,2019-03-30T17:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,293.47,DAM,4
108,3/30/19,10,0,2019-03-30T16:00:00-00:00,2019-03-30T17:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1272.2,DAM,5
10,3/30/19,11,0,2019-03-30T17:00:00-00:00,2019-03-30T18:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1434.8,DAM,1
32,3/30/19,11,0,2019-03-30T17:00:00-00:00,2019-03-30T18:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,124.71,DAM,2
50,3/30/19,11,0,2019-03-30T17:00:00-00:00,2019-03-30T18:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,7335.63,DAM,3
86,3/30/19,11,0,2019-03-30T17:00:00-00:00,2019-03-30T18:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,351.93,DAM,4
109,3/30/19,11,0,2019-03-30T17:00:00-00:00,2019-03-30T18:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1494.76,DAM,5
11,3/30/19,12,0,2019-03-30T18:00:00-00:00,2019-03-30T19:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1452.76,DAM,1
31,3/30/19,12,0,2019-03-30T18:00:00-00:00,2019-03-30T19:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,116.67,DAM,2
64,3/30/19,12,0,2019-03-30T18:00:00-00:00,2019-03-30T19:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,7549.89,DAM,3
87,3/30/19,12,0,2019-03-30T18:00:00-00:00,2019-03-30T19:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,379.26,DAM,4
110,3/30/19,12,0,2019-03-30T18:00:00-00:00,2019-03-30T19:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1585.75,DAM,5
