Hour,pr_e,pr_fre_u,pr_fre_d
0,30.972528726663104,2.7246550398748832,8.0
1,30.972528726663104,2.7079687948625755,8.0
2,30.972528726663104,2.704443717493476,8.0
3,30.972528726663104,2.7079687948625755,8.0
4,30.972528726663104,2.7246550398748832,8.0
5,31.97468286457417,2.659482393782324,8.0
6,30.60831454148315,2.5466437961516224,0.0010654587888237882
7,30.60831454148315,0.002108918850588151,8.0
8,30.60831454148315,0.002437053201569845,2.294995326293332
9,30.60831454148315,0.002067150639027064,8.0
10,30.60831454148315,0.002079945380291471,8.0
11,30.60831454148315,0.002108918850588151,8.0
12,30.60831454148315,0.0021535705184335496,8.0
13,30.60831454148315,0.002214272733434408,8.0
14,30.60831454148315,0.002756115259074556,8.0
15,30.60831454148315,2.659482393782324,8.0
16,30.60831454148315,2.660198171681784,8.0
17,31.97468286457417,2.7029221818511573,8.0
18,59.75677719245546,2.837468286457417,8.0
19,65.98832579636397,2.837468286457417,8.0
20,31.97468286457417,9999.0,8.0
21,31.97468286457417,9999.0,8.0
22,31.97468286457417,9999.0,8.0
23,31.97468286457417,9999.0,8.0
