netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,15.479999999999995
0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.616463989485908
0.0,0.0,0.0,0.0
27.093978364688436,0.0,0.0,0.0
15.479999999999997,0.0,0.0,0.0
0.0,0.0,0.0,0.0
80.41,0.0,0.0,15.479999999999995
115.81182698714424,0.0,0.0,0.0
53.30213544703923,0.0,0.0,44.85425000000001
33.97,0.0,0.0,36.544723328272845
24.51,0.0,0.0,44.180499999999995
69.85600962853725,0.0,0.0,43.666000000000004
98.29799999999972,0.0,0.0,43.603
43.58721813343734,0.0,0.0,43.582
77.4,0.0,0.0,43.673
98.21111664052896,0.0,0.0,45.75025000000001
123.83999999999997,0.0,0.0,48.986000000000004
0.0,0.0,0.0,52.076499999999996
0.0,0.0,0.0,51.84725000000001
0.0,0.0,0.0,50.7325
0.0,0.0,0.0,48.24925
2070.52633377876,0.0,0.0,44.583
2375.4489999999823,0.0,0.0,41.40325
