Hour,pr_e,pr_fre_u,pr_fre_d
0,31.99550506137401,2.6638171251961857,10.0
1,31.99550506137401,2.66175417304156,10.0
2,31.99550506137401,2.66175417304156,10.0
3,31.99550506137401,2.6638171251961857,10.0
4,31.99550506137401,2.6843548631021843,10.0
5,31.99550506137401,2.7062931913659405,10.0
6,31.99550506137401,2.8395505061374005,2.660198171681784
7,30.972528726663104,2.7256220505834703,10.0
8,30.62063328024409,2.6853138229585367,2.667638754395772
9,30.62063328024409,2.660691992151889,10.0
10,30.62063328024409,2.54717333503316,10.0
11,30.62063328024409,2.5466437961516224,10.0
12,30.62063328024409,2.5466437961516224,10.0
13,30.62063328024409,2.5466437961516224,10.0
14,30.62063328024409,2.5466437961516224,10.0
15,30.62063328024409,2.660198171681784,10.0
16,30.62063328024409,2.6668512645484324,10.0
17,32.40730072329399,2.7026810469662763,10.0
18,59.75677719245546,2.8807300723294,10.0
19,65.98832579636397,2.8807300723294,10.0
20,31.991202750104172,2.7852353291355563,10.0
21,31.991202750104172,2.7372528726663106,10.0
22,31.991202750104172,2.7026810469662763,10.0
23,31.991202750104172,2.6843548631021843,10.0
