DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[247.7884956811765],[5454847.404150373],[2.240594608123932],[1641621.7521007056],[7096223.608350006]
[942.3841792535403],[5382046.704483699],[2.240594608123932],[1640187.4799647403],[7021294.040863794]
[0.0],[0.0],[0.0],[0.0],[0.0]
[2028.5278288592617],[5232297.3487797715],[0.0],[1589619.2572510494],[6819888.078201962]
[85310.29746696295],[257882.82488244807],[0.0],[60160.84259625586],[232733.370011741]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5426759.711059718],[2.240594608123932],[1607475.5852392842],[7034237.53689361]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5631508.867891396],[0.0],[1683073.3551666467],[7314582.223058043]
[0.0],[5183227.43920013],[0.0],[1603851.7111629485],[6787079.150363078]
[0.0],[5642440.776561283],[0.0],[1698797.777290462],[7341238.553851744]
[173.50157962725595],[5270672.644888097],[0.0],[1534651.0464305729],[6805150.189739043]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[0.0],[0.0],[0.0],[0.0]
