netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
141.01002719998084,0.0,0.0,0.0
100.72144799999998,0.0,0.0,0.0
170.38711620000709,0.0,0.0,0.0
446.95142550001106,0.0,0.0,0.0
522.7722933000027,0.0,0.0,0.0
359.37506408874805,0.0,0.0,0.0
981.6144452999731,0.0,0.0,0.0
2360.7988283999935,0.0,0.0,0.0
3856.0895531591236,0.0,0.0,0.0
8566.499043299944,0.0,0.0,0.0
