,netload
2025-06-17 00:00:00,25824.481158738145
2025-06-17 00:05:00,25649.953793348697
2025-06-17 00:10:00,25416.912310113963
2025-06-17 00:15:00,25363.90912534236
2025-06-17 00:20:00,25277.602536262286
2025-06-17 00:25:00,25142.104223432998
2025-06-17 00:30:00,25104.080961677533
2025-06-17 00:35:00,24948.607506344004
2025-06-17 00:40:00,24781.191135455167
2025-06-17 00:45:00,24664.81821501807
2025-06-17 00:50:00,24629.529955794354
2025-06-17 00:55:00,24537.716451233886
2025-06-17 01:00:00,24501.4548645386
2025-06-17 01:05:00,24416.219674546017
2025-06-17 01:10:00,24308.728158320544
2025-06-17 01:15:00,24205.00795941295
2025-06-17 01:20:00,24049.717210188915
2025-06-17 01:25:00,23876.83064214035
2025-06-17 01:30:00,23830.609996684096
2025-06-17 01:35:00,23723.47131887985
2025-06-17 01:40:00,23618.741852908817
2025-06-17 01:45:00,23413.605801584254
2025-06-17 01:50:00,23302.70717613182
2025-06-17 01:55:00,23155.504650494742
2025-06-17 02:00:00,23006.373975731047
2025-06-17 02:05:00,22883.226455525277
2025-06-17 02:10:00,22792.74016335606
2025-06-17 02:15:00,22621.149767519146
2025-06-17 02:20:00,22469.278436189183
2025-06-17 02:25:00,22383.016230001736
2025-06-17 02:30:00,22287.39858853956
2025-06-17 02:35:00,22154.67026699695
2025-06-17 02:40:00,22092.041184505048
2025-06-17 02:45:00,22018.02517449834
2025-06-17 02:50:00,21951.807371803206
2025-06-17 02:55:00,21938.77402553682
2025-06-17 03:00:00,21876.261191849728
2025-06-17 03:05:00,21865.167985559125
2025-06-17 03:10:00,21858.43449601234
2025-06-17 03:15:00,21728.76306510011
2025-06-17 03:20:00,21809.983087678014
2025-06-17 03:25:00,21808.052159855044
2025-06-17 03:30:00,21824.84741977752
2025-06-17 03:35:00,21942.750254047896
2025-06-17 03:40:00,22005.262669893717
2025-06-17 03:45:00,21976.487374443645
2025-06-17 03:50:00,22019.720477082505
2025-06-17 03:55:00,21999.973448494824
2025-06-17 04:00:00,21989.66079049125
2025-06-17 04:05:00,21898.031460812297
2025-06-17 04:10:00,21879.48330163897
2025-06-17 04:15:00,21862.183045310183
2025-06-17 04:20:00,21869.984519735015
2025-06-17 04:25:00,21939.474725562788
2025-06-17 04:30:00,21939.489114848246
