DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[177168.6339786891],[112509.75828700513],[0.0],[10162.92746091669],[-54495.94823076727]
[395045.0781171672],[396444.1115140542],[0.0],[11179.357039030614],[12578.390435917594]
[271989.0048807065],[222368.0362447091],[0.0],[11428.291039030613],[-38192.677596966765]
[235167.770641529],[156552.60420550575],[0.0],[11274.522],[-67340.64443602326]
[183045.7254331021],[100219.9271301023],[0.0],[11148.971054544603],[-71676.82724845521]
[168628.74188900687],[82810.44817916879],[0.0],[10601.596460916688],[-75216.6972489214]
[379148.60248602746],[409931.50428136816],[0.0],[11148.144],[41931.04579534073]
[240141.4660252606],[125153.8655130107],[0.0],[11167.440445402699],[-103820.1600668472]
[255020.94179741968],[137194.15204930183],[0.0],[10588.313054544604],[-107238.47669357323]
[392207.5410478422],[367777.46772243804],[0.0],[11014.024039030613],[-13416.049286373542]
[234864.60348487797],[81141.87444901565],[0.0],[11123.341460916688],[-142599.38757494563]
[234199.1023149861],[53768.18321146481],[0.0],[9200.394],[-171230.5251035213]
[166901.77683392406],[83488.60673908034],[0.0],[10044.300000000001],[-73368.87009484372]
[231665.6788139802],[120215.76518348583],[0.0],[11529.93540637209],[-99919.97822412229]
