netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,132.11
1391.4234008191916,0.0,0.0,0.0
824.6714680425572,0.0,0.0,127.27999999999999
774.9739921867073,0.0,0.0,123.04000000000002
1227.8685031949988,0.0,0.0,121.66499999999998
1594.6286989658597,0.0,0.0,120.37
1474.2720731830566,0.0,0.0,118.87
1508.555781058668,0.0,0.0,117.095
1773.1901137338045,0.0,0.0,119.285
1875.8802224807796,0.0,0.0,125.33
264.7824373004747,0.0,0.0,137.90499999999997
116.48449838774587,0.0,0.0,145.775
372.1097939999998,0.0,0.0,144.91
758.5937392631217,0.0,0.0,142.25500000000005
405.53293725217424,0.0,0.0,135.18
440.68820724573493,0.0,0.0,126.39499999999998
1004.5518567953136,0.0,0.0,117.53500000000007
