netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,6769.92,0.0,3108.88728116165
0.0,6769.92,0.0,3591.1166278920837
0.0,6769.92,0.0,2041.2990888293193
0.0,6769.92,0.0,2563.9603754349764
0.0,6684.78,0.0,5019.389999999998
0.0,6457.74,0.0,8606.91396961035
0.0,6343.36,0.0,0.0
0.0,6001.51,0.0,5080.684483566424
0.0,6732.08,0.0,5634.5093762230745
0.0,6988.618000000001,0.0,6959.610154533938
0.0,6986.64,0.0,7148.271459733575
0.0,6796.710129735903,0.0,4799.246906130564
0.0,6796.769828435033,0.0,5497.692253099796
0.0,6497.601,0.0,6092.521945991035
0.0,6350.001647744926,0.0,5805.629617767304
0.0,5819.819067490016,0.0,6781.764144393403
0.0,6081.208263728305,0.0,5924.213015334576
0.0,6121.91,0.0,7752.34223313647
0.0,6579.43,0.0,6131.820131924146
0.0,6397.54,0.0,6211.019462020885
0.0,6686.839163742361,0.0,5681.734356365851
0.0,6509.769999999999,0.0,6248.401766509795
0.0,6690.224282310316,0.0,12552.946852007759
0.0,6614.3412788339265,0.0,31266.77536427472
