netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,6300.36,0.0,754.290157188399
0.0,6300.36,0.0,533.7880562255682
0.0,6300.36,0.0,575.7226438984144
0.0,6300.36,0.0,1119.4419644687687
0.0,6215.22,0.0,4812.409578229163
0.0,5988.18,0.0,7858.817510439636
0.0,5888.85,0.0,0.0
0.0,5690.19,0.0,4475.105658084249
0.0,6428.07,0.0,4324.221686319271
0.0,6797.01,0.0,4377.570886995829
0.0,6797.01,0.0,4619.884840600543
0.0,6598.3499999999985,0.0,4792.529838406999
0.0,6598.3499999999985,0.0,6705.526408223901
0.0,6307.431647744925,0.0,5334.859946930865
0.0,6201.03,0.0,6299.60190177015
0.0,5566.928263728304,0.0,6340.761775364689
0.0,5973.99,0.0,5361.782513340732
0.0,5817.9,0.0,6789.151797779279
0.0,6215.22,0.0,6737.953008498485
0.0,5988.18,0.0,5532.868728759928
0.0,6243.6,0.0,7258.410366673006
0.0,6073.32,0.0,5432.366287141189
0.0,6142.233690632556,0.0,10672.776641322751
0.0,6031.458844598255,0.0,41648.15645396314
