DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[0.0],[4982639.572479269],[0.0],[1799286.0301977047],[6781925.602676973]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5370253.200721955],[0.0],[1828295.9838074993],[7198549.184529454]
[0.0],[5252548.978675231],[7.202436805427213],[1785101.1750585504],[7037657.356170587]
[0.0],[4964340.858504135],[7.202436805427213],[1875123.7284111397],[6839471.789352081]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5426933.426964071],[10.32890392064581],[1933862.008753131],[7360805.764621123]
[0.0],[5472078.016763728],[0.0],[1902044.8284084373],[7374122.845172165]
[0.0],[5229858.313387566],[2.6941193443223868],[1869907.7221004027],[7099768.729607314]
[0.0],[5252473.613172343],[7.202436805427213],[1869250.1051998131],[7121730.920808962]
[0.0],[5778378.7969200155],[0.0],[2031720.714398484],[7810099.511318499]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[4637443.939061974],[2.6941193443223868],[1785826.3134301524],[6423272.9466114715]
