netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,8514.0,0.0,28.727788204990453
0.0,8514.0,0.0,127.76996943537577
0.0,8514.0,0.0,23.91921282466035
0.0,8514.0,0.0,399.9369952951596
0.0,8428.86,0.0,13166.766862917659
0.0,8149.789999999999,0.0,20301.33244905446
0.0,8017.350000000001,0.0,0.0
0.0,7527.795,0.0,11845.00500585271
0.0,8055.190000000001,0.0,0.0
0.0,8031.54,0.0,9391.863368455319
0.0,8038.635,0.0,500.4447933650372
0.0,7974.78,0.0,89.44000000000018
0.0,7918.02,0.0,123.17289342527658
0.0,7790.31,0.0,25415.86739340963
0.0,7804.5,0.0,19842.47285136294
0.0,7329.135,0.0,8690.675343802857
0.0,7598.745,0.0,6840.471962664982
0.0,7357.515,0.0,5510.797103081261
0.0,8074.11,0.0,5948.414997213075
0.0,7847.069999999999,0.0,5451.0330964317745
0.0,8334.26,0.0,5746.313485295797
0.0,8173.440000000001,0.0,5974.546380919429
0.0,8450.145,0.0,5728.6103263399245
0.0,8514.0,0.0,45489.49760289682
