netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
141.01002719998084,0.0,0.0,0.0
100.72144799999998,0.0,0.0,0.0
100.72144799999998,0.0,0.0,0.0
437.15906250001103,0.0,0.0,0.0
464.01811530000276,0.0,0.0,0.0
329.0233967999866,0.0,0.0,0.0
1166.270433299973,0.0,0.0,0.0
2396.61089879999,0.0,0.0,0.0
3912.185804059116,0.0,0.0,0.0
9593.857812899929,0.0,0.0,0.0
