"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","SLRS_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_ZONE_NAME","SCHEDULE","XML_DATA_ITEM","POS","MW","GROUP"
"34","2019-05-16T13:10:00-00:00","2019-05-16T13:15:00-00:00","ALL","2019-05-16",7,3,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,28090.12,1
"35","2019-05-16T13:40:00-00:00","2019-05-16T13:45:00-00:00","ALL","2019-05-16",7,9,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,27823.7,1
"36","2019-05-16T13:55:00-00:00","2019-05-16T14:00:00-00:00","ALL","2019-05-16",7,12,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,28357.76,1
"37","2019-05-16T14:00:00-00:00","2019-05-16T14:05:00-00:00","ALL","2019-05-16",8,1,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,28853.55,1
"38","2019-05-16T14:20:00-00:00","2019-05-16T14:25:00-00:00","ALL","2019-05-16",8,5,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,27186.32,1
"39","2019-05-16T14:50:00-00:00","2019-05-16T14:55:00-00:00","ALL","2019-05-16",8,11,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,26986.58,1
"40","2019-05-16T15:15:00-00:00","2019-05-16T15:20:00-00:00","ALL","2019-05-16",9,4,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,27017.73,1
"41","2019-05-16T16:20:00-00:00","2019-05-16T16:25:00-00:00","ALL","2019-05-16",10,5,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,25700.16,1
"42","2019-05-16T16:55:00-00:00","2019-05-16T17:00:00-00:00","ALL","2019-05-16",10,12,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,26457.62,1
"43","2019-05-16T18:10:00-00:00","2019-05-16T18:15:00-00:00","ALL","2019-05-16",12,3,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,25588.85,1
"44","2019-05-16T18:25:00-00:00","2019-05-16T18:30:00-00:00","ALL","2019-05-16",12,6,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,25756.51,1
"45","2019-05-16T19:00:00-00:00","2019-05-16T19:05:00-00:00","ALL","2019-05-16",13,1,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,26948.44,1
"46","2019-05-16T19:10:00-00:00","2019-05-16T19:15:00-00:00","ALL","2019-05-16",13,3,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,27032.66,1
"47","2019-05-16T20:30:00-00:00","2019-05-16T20:35:00-00:00","ALL","2019-05-16",14,7,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,27227.3,1
"48","2019-05-16T23:05:00-00:00","2019-05-16T23:10:00-00:00","ALL","2019-05-16",17,2,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,29467.57,1
"49","2019-05-16T23:25:00-00:00","2019-05-16T23:30:00-00:00","ALL","2019-05-16",17,6,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,29544.17,1
"50","2019-05-17T00:05:00-00:00","2019-05-17T00:10:00-00:00","ALL","2019-05-16",18,2,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,30291.08,1
"51","2019-05-17T00:10:00-00:00","2019-05-17T00:15:00-00:00","ALL","2019-05-16",18,3,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,30472.36,1
"52","2019-05-17T00:25:00-00:00","2019-05-17T00:30:00-00:00","ALL","2019-05-16",18,6,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,30220.36,1
"53","2019-05-17T00:55:00-00:00","2019-05-17T01:00:00-00:00","ALL","2019-05-16",18,12,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,29498.84,1
"54","2019-05-17T02:30:00-00:00","2019-05-17T02:35:00-00:00","ALL","2019-05-16",20,7,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,29386.92,1
"55","2019-05-17T02:50:00-00:00","2019-05-17T02:55:00-00:00","ALL","2019-05-16",20,11,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,29781.55,1
"56","2019-05-17T03:20:00-00:00","2019-05-17T03:25:00-00:00","ALL","2019-05-16",21,5,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,31233.68,1
"57","2019-05-17T03:45:00-00:00","2019-05-17T03:50:00-00:00","ALL","2019-05-16",21,10,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,30724.95,1
