,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
16,2019-01-01T13:40:00-00:00,2019-01-01T13:45:00-00:00,ALL,1/1/19,6,9,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24922.04,1
17,2019-01-01T14:20:00-00:00,2019-01-01T14:25:00-00:00,ALL,1/1/19,7,5,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,26264.89,1
18,2019-01-01T14:30:00-00:00,2019-01-01T14:35:00-00:00,ALL,1/1/19,7,7,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,26250.14,1
19,2019-01-01T15:20:00-00:00,2019-01-01T15:25:00-00:00,ALL,1/1/19,8,5,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,26557.38,1
20,2019-01-01T16:05:00-00:00,2019-01-01T16:10:00-00:00,ALL,1/1/19,9,2,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,25672.59,1
21,2019-01-01T16:35:00-00:00,2019-01-01T16:40:00-00:00,ALL,1/1/19,9,8,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,26641.53,1
22,2019-01-01T17:45:00-00:00,2019-01-01T17:50:00-00:00,ALL,1/1/19,10,10,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,27877.69,1
23,2019-01-01T17:55:00-00:00,2019-01-01T18:00:00-00:00,ALL,1/1/19,10,12,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,27840.74,1
24,2019-01-01T20:15:00-00:00,2019-01-01T20:20:00-00:00,ALL,1/1/19,13,4,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,28695.22,1
25,2019-01-01T21:10:00-00:00,2019-01-01T21:15:00-00:00,ALL,1/1/19,14,3,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,28279.21,1
26,2019-01-01T21:35:00-00:00,2019-01-01T21:40:00-00:00,ALL,1/1/19,14,8,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,28093.04,1
27,2019-01-01T22:30:00-00:00,2019-01-01T22:35:00-00:00,ALL,1/1/19,15,7,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,26832.64,1
28,2019-01-01T22:35:00-00:00,2019-01-01T22:40:00-00:00,ALL,1/1/19,15,8,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,26440.59,1
29,2019-01-01T22:50:00-00:00,2019-01-01T22:55:00-00:00,ALL,1/1/19,15,11,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24936.11,1
30,2019-01-02T00:05:00-00:00,2019-01-02T00:10:00-00:00,ALL,1/1/19,17,2,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,27279.38,1
31,2019-01-02T00:10:00-00:00,2019-01-02T00:15:00-00:00,ALL,1/1/19,17,3,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,27706.36,1
32,2019-01-02T00:15:00-00:00,2019-01-02T00:20:00-00:00,ALL,1/1/19,17,4,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,27803.76,1
33,2019-01-01T08:40:00-00:00,2019-01-01T08:45:00-00:00,ALL,1/1/19,1,9,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24365.24,1
34,2019-01-01T08:50:00-00:00,2019-01-01T08:55:00-00:00,ALL,1/1/19,1,11,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24250.62,1
35,2019-01-01T11:20:00-00:00,2019-01-01T11:25:00-00:00,ALL,1/1/19,4,5,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,23893.04,1
36,2019-01-01T11:50:00-00:00,2019-01-01T11:55:00-00:00,ALL,1/1/19,4,11,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24018.2,1
37,2019-01-01T11:55:00-00:00,2019-01-01T12:00:00-00:00,ALL,1/1/19,4,12,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24078.27,1
38,2019-01-01T13:45:00-00:00,2019-01-01T13:50:00-00:00,ALL,1/1/19,6,10,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24853.75,1
39,2019-01-01T13:50:00-00:00,2019-01-01T13:55:00-00:00,ALL,1/1/19,6,11,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,25115.25,1
40,2019-01-01T14:50:00-00:00,2019-01-01T14:55:00-00:00,ALL,1/1/19,7,11,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,26215.04,1
41,2019-01-01T14:55:00-00:00,2019-01-01T15:00:00-00:00,ALL,1/1/19,7,12,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,26166.92,1
42,2019-01-01T15:25:00-00:00,2019-01-01T15:30:00-00:00,ALL,1/1/19,8,6,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,26468.51,1
43,2019-01-01T16:45:00-00:00,2019-01-01T16:50:00-00:00,ALL,1/1/19,9,10,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,27089.76,1
44,2019-01-01T16:50:00-00:00,2019-01-01T16:55:00-00:00,ALL,1/1/19,9,11,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,27639.87,1
45,2019-01-01T18:05:00-00:00,2019-01-01T18:10:00-00:00,ALL,1/1/19,11,2,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,27914.57,1
46,2019-01-01T18:10:00-00:00,2019-01-01T18:15:00-00:00,ALL,1/1/19,11,3,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,27774.88,1
47,2019-01-01T18:20:00-00:00,2019-01-01T18:25:00-00:00,ALL,1/1/19,11,5,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,28108.44,1
48,2019-01-01T19:30:00-00:00,2019-01-01T19:35:00-00:00,ALL,1/1/19,12,7,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,28930.91,1
49,2019-01-01T19:45:00-00:00,2019-01-01T19:50:00-00:00,ALL,1/1/19,12,10,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,29037.6,1
50,2019-01-01T20:20:00-00:00,2019-01-01T20:25:00-00:00,ALL,1/1/19,13,5,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,28709.07,1
51,2019-01-01T21:00:00-00:00,2019-01-01T21:05:00-00:00,ALL,1/1/19,14,1,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,28442.98,1
52,2019-01-02T00:40:00-00:00,2019-01-02T00:45:00-00:00,ALL,1/1/19,17,9,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,29135.96,1
53,2019-01-02T01:20:00-00:00,2019-01-02T01:25:00-00:00,ALL,1/1/19,18,5,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,32991.22,1
54,2019-01-02T02:20:00-00:00,2019-01-02T02:25:00-00:00,ALL,1/1/19,19,5,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,33063.59,1
55,2019-01-02T02:45:00-00:00,2019-01-02T02:50:00-00:00,ALL,1/1/19,19,10,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,33052.61,1
56,2019-01-02T03:25:00-00:00,2019-01-02T03:30:00-00:00,ALL,1/1/19,20,6,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,33134.68,1
57,2019-01-02T04:20:00-00:00,2019-01-02T04:25:00-00:00,ALL,1/1/19,21,5,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,33328.13,1
58,2019-01-02T04:35:00-00:00,2019-01-02T04:40:00-00:00,ALL,1/1/19,21,8,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,33815.88,1
59,2019-01-02T07:15:00-00:00,2019-01-02T07:20:00-00:00,ALL,1/1/19,24,4,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,29900.57,1
60,2019-01-01T08:15:00-00:00,2019-01-01T08:20:00-00:00,ALL,1/1/19,1,4,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24426.98,1
61,2019-01-01T08:30:00-00:00,2019-01-01T08:35:00-00:00,ALL,1/1/19,1,7,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24341.91,1
62,2019-01-01T09:15:00-00:00,2019-01-01T09:20:00-00:00,ALL,1/1/19,2,4,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24429.38,1
63,2019-01-01T09:20:00-00:00,2019-01-01T09:25:00-00:00,ALL,1/1/19,2,5,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24440.51,1
64,2019-01-01T09:40:00-00:00,2019-01-01T09:45:00-00:00,ALL,1/1/19,2,9,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24222.41,1
65,2019-01-01T10:25:00-00:00,2019-01-01T10:30:00-00:00,ALL,1/1/19,3,6,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,25383.62,1
66,2019-01-01T10:40:00-00:00,2019-01-01T10:45:00-00:00,ALL,1/1/19,3,9,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,25340.01,1
67,2019-01-01T11:10:00-00:00,2019-01-01T11:15:00-00:00,ALL,1/1/19,4,3,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,23925.04,1
68,2019-01-01T12:00:00-00:00,2019-01-01T12:05:00-00:00,ALL,1/1/19,5,1,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24081.43,1
69,2019-01-01T12:15:00-00:00,2019-01-01T12:20:00-00:00,ALL,1/1/19,5,4,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24499.44,1
70,2019-01-01T12:50:00-00:00,2019-01-01T12:55:00-00:00,ALL,1/1/19,5,11,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,24565.19,1
71,2019-01-01T13:55:00-00:00,2019-01-01T14:00:00-00:00,ALL,1/1/19,6,12,RTM,Caiso_Totals,Import,ISO_TOT_IMP_MW,2,25498.64,1
