netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,124.885
0.0,0.0,0.0,119.37000000000002
0.0,0.0,0.0,116.41
0.0,0.0,0.0,117.40500000000002
0.0,0.0,3.250011247186612e-13,122.41500000000003
0.0,0.0,0.0,128.445
499.53577662294805,0.0,0.0,0.0
573.0176593578262,0.0,0.0,138.81000000000003
680.6528056241036,0.0,0.0,0.0
834.246090521515,0.0,0.0,140.695
1001.7942529060265,0.0,0.0,142.47
1309.6201183958915,0.0,0.0,144.02
979.8893493532801,0.0,0.0,148.52500000000003
1238.1526597046025,0.0,0.0,149.74
1507.7259278508704,0.0,0.0,152.365
1026.0632784546112,0.0,0.0,159.72000000000006
1995.063994573373,0.0,0.0,163.01000000000008
381.4716228792328,0.0,0.0,163.71
0.0,0.0,-6.928391342913111e-13,161.66
0.0,0.0,0.0,159.16
0.0,0.0,0.0,153.86
0.0,0.0,0.0,142.485
384.8256223000486,0.0,0.0,131.56000000000003
2124.6953499035026,0.0,0.0,123.04000000000002
