DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[438715.00147865375],[0.0],[0.0],[18953.582189647655],[-419761.4192890061]
[387753.2811689582],[0.0],[0.0],[19405.920000000006],[-368347.3611689582]
[404934.75427329686],[0.0],[0.0],[21972.642056650213],[-382962.11221664667]
[509344.4004156926],[407760.1865167593],[0.0],[23754.480000000003],[-77829.73389893334]
[475188.69312287297],[289227.52128392796],[0.0],[24781.480000000007],[-161179.69183894503]
[431586.3338324818],[0.0],[0.0],[22997.62218964766],[-408588.7116428342]
[294621.90796231513],[0.0],[0.0],[21777.042056650214],[-272844.8659056649]
[8579.005420926538],[6551295.62601866],[0.0],[21114.184246297868],[6563830.804844031]
[689562.7474319432],[867900.6320500041],[0.0],[22587.68],[200925.56461806095]
[923917.4044100097],[1173561.1495390898],[0.0],[27959.082056650215],[277602.8271857302]
[1052397.2503262907],[1130684.3299335113],[0.0],[29452.822189647657],[107739.9017968683]
[457135.78855368367],[322308.4503803139],[0.0],[28240.800000000003],[-106586.53817336977]
[293270.40912389674],[0.0],[0.0],[24830.08],[-268440.3291238967]
[300639.6319737487],[0.0],[0.0],[23215.704246297868],[-277423.9277274508]
[301469.40193497506],[0.0],[0.0],[21245.222189647655],[-280224.1797453274]
[322130.6168597796],[0.0],[0.0],[20355.624246297866],[-301774.9926134817]
[538118.6625619952],[306802.41522382374],[0.0],[23351.082056650215],[-207965.16528152127]
[440264.8941686637],[0.0],[0.0],[24521.482056650217],[-415743.4121120135]
[379588.07723901415],[0.0],[0.0],[24776.560000000005],[-354811.51723901415]
[303110.3616845394],[0.0],[0.0],[23409.702189647654],[-279700.65949489176]
[299214.6704405034],[0.0],[0.0],[22190.92000000001],[-277023.7504405034]
[522554.8235608832],[424199.48398655973],[0.0],[21470.840000000004],[-76884.49957432342]
[489814.22180841083],[344194.42806556984],[0.0],[22194.26424629787],[-123425.52949654311]
[590559.0799813892],[443793.51205982873],[0.0],[24253.222189647655],[-122512.34573191282]
[410686.2429026881],[267604.13682957785],[0.0],[23500.50218964766],[-119581.60388346261]
[656446.1629528597],[530892.3166204018],[0.0],[22631.962056650213],[-102921.88427580765]
[629793.5942931436],[523838.0463200372],[0.0],[22601.24205665022],[-83354.30591645616]
[453287.2794303207],[272787.10064432956],[0.0],[22698.44000000001],[-157801.73878599115]
[441889.51198793354],[247409.57686811587],[0.0],[21651.26424629787],[-172828.6708735198]
[303122.3930595544],[0.0],[0.0],[21685.864246297868],[-281436.52881325653]
