netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,0.0,0.0,100.42000000000002
0.0,0.0,0.0,97.68499999999999
0.0,0.0,0.0,97.425
0.0,0.0,0.0,99.59500000000006
0.0,0.0,0.0,106.41500000000002
0.0,0.0,0.0,114.99000000000004
0.0,0.0,0.0,0.0
889.2864512999922,0.0,0.0,122.33999999999996
1207.4233132621275,0.0,0.0,0.0
1134.9447123551683,0.0,0.0,123.55500000000005
1203.9673808487703,0.0,0.0,121.88500000000005
1031.0168123877436,0.0,0.0,120.92
1104.6963689008242,0.0,0.0,121.22
1075.1218765842664,0.0,0.0,120.99000000000002
1581.088277084336,0.0,0.0,119.95500000000001
1709.7005167944922,0.0,0.0,119.76000000000003
2409.1691601471057,0.0,0.0,122.00271530127674
84.84682195787722,0.0,0.0,123.11500000000002
73.62709311139976,0.0,0.0,126.97500000000002
0.0,0.0,0.0,131.29
0.0,0.0,0.0,127.445
202.82189801642505,0.0,0.0,118.61
117.508356,0.0,0.0,110.30377089000005
2135.1795230272387,0.0,0.0,105.58377089000004
