DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
467238.9455218342,0.0,0.0,19519.50218964766,-447719.44333218655
405001.69163137756,0.0,0.0,20961.24205665022,-384040.44957472733
383923.3375694192,0.0,0.0,21114.48,-362808.8575694192
345018.98551203153,0.0,0.0,19447.64,-325571.3455120315
337545.20920131233,0.0,0.0,17994.600000000002,-319550.60920131236
317813.6613390135,0.0,0.0,20673.400000000005,-297140.26133901346
318539.53614734963,0.0,0.0,20970.200000000004,-297569.3361473496
308174.58396208717,0.0,0.0,21457.10218964766,-286717.4817724395
430457.87718417007,0.0,0.0,21520.08,-408937.79718417005
