DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[102.56863150554089],[6226553.843515616],[0.0],[20131.942189647656],[6246583.217073758]
[676194.9135138632],[399788.561181037],[0.0],[21516.322056650217],[-254890.030276176]
[906667.2635848967],[505931.8812607115],[0.0],[21877.40205665022],[-378857.98026753496]
[1094825.6843694677],[703195.4732727776],[0.0],[22243.68],[-369386.53109669]
[1666158.3001937736],[1037850.2412305347],[0.0],[21531.6],[-606776.4589632389]
[612447.3736448992],[320364.54156184744],[0.0],[21412.222189647655],[-270670.6098934041]
[897454.157443633],[477512.1855992768],[0.0],[20536.122056650216],[-399405.8497877059]
[697463.6034020244],[323242.8073077038],[0.0],[19703.62424629787],[-354517.17184802267]
[596282.7985211142],[362060.593470284],[0.0],[21360.320000000007],[-212861.88505083014]
[843693.5395009837],[456845.78289303597],[0.0],[20948.571889530216],[-365899.18471841747]
[748203.9970879906],[495977.2741716141],[0.0],[22086.862189647658],[-230139.86072672886]
[674864.6949336722],[552104.1046557837],[0.0],[21563.360000000008],[-101197.23027788848]
[562117.4237289863],[318253.0685299527],[0.0],[21437.88000000001],[-222426.47519903356]
[503243.90622689656],[274072.16043174814],[0.0],[20178.30424629787],[-208993.44154885056]
[8625.348467277217],[6269469.788136262],[0.0],[19810.784246297866],[6280655.223915283]
[570871.067885463],[290547.8410425857],[0.0],[22009.34424629787],[-258313.8825965795]
[716357.969689352],[420511.17599489656],[0.0],[22562.882056650218],[-273283.91163780517]
[1503275.2208152653],[901435.0859318215],[0.0],[22751.72],[-579088.4148834439]
[807020.1120586202],[447054.10696556856],[0.0],[21301.21188953022],[-338664.7932035214]
[900087.5296783492],[541225.1404410437],[0.0],[22017.662189647654],[-336844.7270476578]
[973658.067170659],[518473.7276099914],[0.0],[20698.760000000017],[-434485.5795606675]
[766352.1074733927],[434816.17951871833],[0.0],[20458.842056650217],[-311077.0858980242]
[919944.047555415],[528173.4792361883],[0.0],[22160.984246297878],[-369609.58407292876]
[820540.9347223674],[450061.04851878725],[0.0],[20711.34218964767],[-349768.5440139325]
[102.5947682626396],[6392819.595946736],[0.0],[19711.382189647655],[6412428.3833681205]
[933163.9141402134],[511239.1948073248],[0.0],[21629.722056650215],[-400294.9972762384]
