"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","SLRS_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_ZONE_NAME","SCHEDULE","XML_DATA_ITEM","POS","MW","GROUP"
"34","2019-09-09T11:05:00-00:00","2019-09-09T11:10:00-00:00","ALL","2019-09-09",5,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19713.97,1
"35","2019-09-09T13:25:00-00:00","2019-09-09T13:30:00-00:00","ALL","2019-09-09",7,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22342.26,1
"36","2019-09-09T13:55:00-00:00","2019-09-09T14:00:00-00:00","ALL","2019-09-09",7,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22057.7,1
"37","2019-09-09T16:40:00-00:00","2019-09-09T16:45:00-00:00","ALL","2019-09-09",10,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,18844.89,1
"38","2019-09-09T16:55:00-00:00","2019-09-09T17:00:00-00:00","ALL","2019-09-09",10,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19590.61,1
"39","2019-09-09T17:10:00-00:00","2019-09-09T17:15:00-00:00","ALL","2019-09-09",11,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20611.5,1
"40","2019-09-09T17:20:00-00:00","2019-09-09T17:25:00-00:00","ALL","2019-09-09",11,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20769.71,1
"41","2019-09-09T17:35:00-00:00","2019-09-09T17:40:00-00:00","ALL","2019-09-09",11,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20676.09,1
"42","2019-09-09T17:40:00-00:00","2019-09-09T17:45:00-00:00","ALL","2019-09-09",11,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21158.72,1
"43","2019-09-09T18:20:00-00:00","2019-09-09T18:25:00-00:00","ALL","2019-09-09",12,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21249.93,1
"44","2019-09-09T18:25:00-00:00","2019-09-09T18:30:00-00:00","ALL","2019-09-09",12,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21587.43,1
"45","2019-09-09T18:40:00-00:00","2019-09-09T18:45:00-00:00","ALL","2019-09-09",12,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22178.05,1
"46","2019-09-09T18:45:00-00:00","2019-09-09T18:50:00-00:00","ALL","2019-09-09",12,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22293.27,1
"47","2019-09-09T19:55:00-00:00","2019-09-09T20:00:00-00:00","ALL","2019-09-09",13,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22299.16,1
"48","2019-09-09T20:35:00-00:00","2019-09-09T20:40:00-00:00","ALL","2019-09-09",14,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22133.76,1
"49","2019-09-09T22:05:00-00:00","2019-09-09T22:10:00-00:00","ALL","2019-09-09",16,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23499.92,1
"50","2019-09-09T22:10:00-00:00","2019-09-09T22:15:00-00:00","ALL","2019-09-09",16,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23378.73,1
"51","2019-09-09T23:35:00-00:00","2019-09-09T23:40:00-00:00","ALL","2019-09-09",17,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22959.24,1
"52","2019-09-10T00:45:00-00:00","2019-09-10T00:50:00-00:00","ALL","2019-09-09",18,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22842.92,1
"53","2019-09-10T01:05:00-00:00","2019-09-10T01:10:00-00:00","ALL","2019-09-09",19,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22762.64,1
"54","2019-09-10T01:15:00-00:00","2019-09-10T01:20:00-00:00","ALL","2019-09-09",19,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22568.54,1
"55","2019-09-10T02:35:00-00:00","2019-09-10T02:40:00-00:00","ALL","2019-09-09",20,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23907.12,1
"56","2019-09-10T02:50:00-00:00","2019-09-10T02:55:00-00:00","ALL","2019-09-09",20,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23349.18,1
"57","2019-09-10T03:10:00-00:00","2019-09-10T03:15:00-00:00","ALL","2019-09-09",21,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22706.63,1
