"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","SLRS_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_ZONE_NAME","SCHEDULE","XML_DATA_ITEM","POS","MW","GROUP"
"1","2019-05-31T08:15:00-00:00","2019-05-31T08:20:00-00:00","ALL","2019-05-31",2,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,16796.09,1
"2","2019-05-31T08:55:00-00:00","2019-05-31T09:00:00-00:00","ALL","2019-05-31",2,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17286.6,1
"3","2019-05-31T10:05:00-00:00","2019-05-31T10:10:00-00:00","ALL","2019-05-31",4,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17188.79,1
"4","2019-05-31T11:00:00-00:00","2019-05-31T11:05:00-00:00","ALL","2019-05-31",5,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,16972.14,1
"5","2019-05-31T11:20:00-00:00","2019-05-31T11:25:00-00:00","ALL","2019-05-31",5,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,16984.53,1
"6","2019-05-31T13:25:00-00:00","2019-05-31T13:30:00-00:00","ALL","2019-05-31",7,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19328.79,1
"7","2019-05-31T14:35:00-00:00","2019-05-31T14:40:00-00:00","ALL","2019-05-31",8,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17864.9,1
"8","2019-05-31T14:55:00-00:00","2019-05-31T15:00:00-00:00","ALL","2019-05-31",8,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,18608.44,1
"9","2019-05-31T15:45:00-00:00","2019-05-31T15:50:00-00:00","ALL","2019-05-31",9,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,18638.7,1
"10","2019-05-31T16:45:00-00:00","2019-05-31T16:50:00-00:00","ALL","2019-05-31",10,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19039.18,1
"11","2019-05-31T16:55:00-00:00","2019-05-31T17:00:00-00:00","ALL","2019-05-31",10,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,18131.87,1
"12","2019-05-31T19:10:00-00:00","2019-05-31T19:15:00-00:00","ALL","2019-05-31",13,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21429.75,1
"13","2019-05-31T19:25:00-00:00","2019-05-31T19:30:00-00:00","ALL","2019-05-31",13,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20757.52,1
"14","2019-05-31T19:50:00-00:00","2019-05-31T19:55:00-00:00","ALL","2019-05-31",13,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20357.46,1
"15","2019-05-31T20:05:00-00:00","2019-05-31T20:10:00-00:00","ALL","2019-05-31",14,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20793.89,1
"16","2019-05-31T20:25:00-00:00","2019-05-31T20:30:00-00:00","ALL","2019-05-31",14,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20545.84,1
"17","2019-05-31T20:35:00-00:00","2019-05-31T20:40:00-00:00","ALL","2019-05-31",14,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20092.54,1
"18","2019-05-31T21:10:00-00:00","2019-05-31T21:15:00-00:00","ALL","2019-05-31",15,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20229.62,1
"19","2019-05-31T21:30:00-00:00","2019-05-31T21:35:00-00:00","ALL","2019-05-31",15,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19906.12,1
"20","2019-05-31T23:10:00-00:00","2019-05-31T23:15:00-00:00","ALL","2019-05-31",17,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20403.09,1
"21","2019-06-01T00:15:00-00:00","2019-06-01T00:20:00-00:00","ALL","2019-05-31",18,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21571.3,1
"22","2019-06-01T00:40:00-00:00","2019-06-01T00:45:00-00:00","ALL","2019-05-31",18,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19882.94,1
"23","2019-06-01T01:25:00-00:00","2019-06-01T01:30:00-00:00","ALL","2019-05-31",19,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20399.31,1
"24","2019-06-01T01:30:00-00:00","2019-06-01T01:35:00-00:00","ALL","2019-05-31",19,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20753.4,1
"25","2019-06-01T01:50:00-00:00","2019-06-01T01:55:00-00:00","ALL","2019-05-31",19,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20777.5,1
"26","2019-06-01T01:55:00-00:00","2019-06-01T02:00:00-00:00","ALL","2019-05-31",19,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20736.17,1
"27","2019-06-01T03:40:00-00:00","2019-06-01T03:45:00-00:00","ALL","2019-05-31",21,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21468.76,1
"28","2019-06-01T04:55:00-00:00","2019-06-01T05:00:00-00:00","ALL","2019-05-31",22,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20312.24,1
"29","2019-06-01T05:30:00-00:00","2019-06-01T05:35:00-00:00","ALL","2019-05-31",23,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19860.7,1
"30","2019-06-01T05:45:00-00:00","2019-06-01T05:50:00-00:00","ALL","2019-05-31",23,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19670.99,1
"31","2019-06-01T06:25:00-00:00","2019-06-01T06:30:00-00:00","ALL","2019-05-31",24,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19026.2,1
"32","2019-05-31T09:00:00-00:00","2019-05-31T09:05:00-00:00","ALL","2019-05-31",3,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17051.66,1
"33","2019-05-31T09:25:00-00:00","2019-05-31T09:30:00-00:00","ALL","2019-05-31",3,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,16768.56,1
"34","2019-05-31T09:30:00-00:00","2019-05-31T09:35:00-00:00","ALL","2019-05-31",3,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,16762.69,1
"35","2019-05-31T10:15:00-00:00","2019-05-31T10:20:00-00:00","ALL","2019-05-31",4,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17086.07,1
"36","2019-05-31T10:50:00-00:00","2019-05-31T10:55:00-00:00","ALL","2019-05-31",4,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17024.92,1
"37","2019-05-31T11:10:00-00:00","2019-05-31T11:15:00-00:00","ALL","2019-05-31",5,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17046.48,1
"38","2019-05-31T11:40:00-00:00","2019-05-31T11:45:00-00:00","ALL","2019-05-31",5,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17097.13,1
"39","2019-05-31T11:55:00-00:00","2019-05-31T12:00:00-00:00","ALL","2019-05-31",5,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17137.35,1
"40","2019-05-31T13:05:00-00:00","2019-05-31T13:10:00-00:00","ALL","2019-05-31",7,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19158.85,1
"41","2019-05-31T13:15:00-00:00","2019-05-31T13:20:00-00:00","ALL","2019-05-31",7,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19452.94,1
"42","2019-05-31T13:40:00-00:00","2019-05-31T13:45:00-00:00","ALL","2019-05-31",7,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19044.8,1
"43","2019-05-31T14:40:00-00:00","2019-05-31T14:45:00-00:00","ALL","2019-05-31",8,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,18372.38,1
"44","2019-05-31T15:05:00-00:00","2019-05-31T15:10:00-00:00","ALL","2019-05-31",9,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,17491.62,1
"45","2019-05-31T15:25:00-00:00","2019-05-31T15:30:00-00:00","ALL","2019-05-31",9,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,18127.37,1
"46","2019-05-31T15:35:00-00:00","2019-05-31T15:40:00-00:00","ALL","2019-05-31",9,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,18461.71,1
"47","2019-05-31T16:00:00-00:00","2019-05-31T16:05:00-00:00","ALL","2019-05-31",10,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,18567.1,1
"48","2019-05-31T16:40:00-00:00","2019-05-31T16:45:00-00:00","ALL","2019-05-31",10,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19022.11,1
"49","2019-05-31T17:20:00-00:00","2019-05-31T17:25:00-00:00","ALL","2019-05-31",11,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,18665.75,1
"50","2019-05-31T21:00:00-00:00","2019-05-31T21:05:00-00:00","ALL","2019-05-31",15,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20153.65,1
"51","2019-05-31T21:40:00-00:00","2019-05-31T21:45:00-00:00","ALL","2019-05-31",15,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19687.52,1
"52","2019-05-31T22:10:00-00:00","2019-05-31T22:15:00-00:00","ALL","2019-05-31",16,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19807.68,1
"53","2019-05-31T23:40:00-00:00","2019-05-31T23:45:00-00:00","ALL","2019-05-31",17,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19463.73,1
"54","2019-06-01T00:10:00-00:00","2019-06-01T00:15:00-00:00","ALL","2019-05-31",18,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20855.18,1
"55","2019-06-01T00:30:00-00:00","2019-06-01T00:35:00-00:00","ALL","2019-05-31",18,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20610.6,1
"56","2019-06-01T00:35:00-00:00","2019-06-01T00:40:00-00:00","ALL","2019-05-31",18,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20280.58,1
