Hour,pr_e,pr_fre_u,pr_fre_d
0,38.00315258148999,2.71904947731492,12.0
1,38.00315258148999,2.7008314541483154,12.0
2,38.00315258148999,2.7020633280244097,12.0
3,38.00315258148999,2.7026810469662763,12.0
4,38.00315258148999,2.7027376825255147,12.0
5,38.00315258148999,2.7861613931061924,0.0005486228111083897
6,38.011924360615104,2.6668512645484324,0.0005486228111083897
7,38.00315258148999,2.5429846599080306,12.0
8,38.00315258148999,0.0010654587888237882,0.0017770943921310844
9,38.00315258148999,0.0010654587888237882,12.0
10,38.00315258148999,0.0010654587888237882,12.0
11,38.00315258148999,0.0010654587888237882,12.0
12,38.00315258148999,2.5429846599080306,12.0
13,38.00315258148999,2.5466437961516224,12.0
14,38.00315258148999,2.660198171681784,12.0
15,38.00315258148999,2.7152639008078343,12.0
16,65.96362088204617,4.206808767760487,12.0
17,66.60263171474656,4.206808767760487,12.0
18,66.60263171474656,4.206808767760487,12.0
19,65.96362088204617,4.206808767760487,12.0
20,59.291361470598616,4.206808767760487,12.0
21,46.53808767760486,2.917530102375523,12.0
22,40.94718946319823,3.734718946319824,12.0
23,35.684175922428466,3.155424690740658,12.0
