DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
166699.88735500706,0.0,0.0,8225.805000000002,-158474.08235500706
131586.56161538692,0.0,0.0,9677.474999999991,-121909.08661538693
153295.62930131692,0.0,0.0,7466.538000000029,-145829.0913013169
144961.76634885423,0.0,0.0,7252.6222478130785,-137709.14410104117
136931.11443018494,0.0,0.0,9428.519567873831,-127502.59486231112
127974.8684698115,0.0,0.0,8144.571000000002,-119830.2974698115
140388.07457737922,0.0,0.0,8375.04900000003,-132013.0255773792
159321.8661717921,0.0,0.0,8326.165129429806,-150995.70104236229
116000.58055081993,0.0,0.0,8114.548939310208,-107886.03161150972
132904.99156949547,0.0,0.0,7809.627000000001,-125095.36456949546
147920.5407126463,0.0,0.0,7170.830247813066,-140749.71046483322
212108.77520290847,0.0,0.0,8908.146000000002,-203200.62920290846
131763.5383095541,0.0,0.0,6909.099,-124854.4393095541
126496.24979898384,0.0,0.0,6705.063000000001,-119791.18679898385
123657.3485970553,0.0,0.0,7487.529,-116169.8195970553
