netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,7105.32,0.0,585.7258864934066
0.0,7105.32,0.0,604.7663754624584
0.0,7105.32,0.0,756.1215480826869
0.0,7105.32,0.0,839.7914858050785
0.0,7020.18,0.0,6308.244329521218
0.0,6826.68,0.0,7258.043729006833
0.0,6731.649999999999,0.0,0.0
0.0,6426.35,0.0,8704.31944835639
0.0,3934.821777480827,0.0,0.0
0.0,4681.56074922566,0.0,5359.477989799443
0.0,5107.278912872051,0.0,5549.862197500055
0.0,5163.760869611936,0.0,5768.243194456964
0.0,5572.37,0.0,5754.775877354557
0.0,5497.18423542749,0.0,6535.224230729543
0.0,5492.972745674657,0.0,7131.209371523325
0.0,5247.679053706433,0.0,8257.922116532094
0.0,5016.239416621468,0.0,9012.808489491104
0.0,6471.5,0.0,6356.424357067025
0.0,7036.52,0.0,6173.908085343278
0.0,6832.699999999999,0.0,5348.587764026767
0.0,6932.532645346216,0.0,5848.218459987091
0.0,6831.84,0.0,5614.245104572381
0.0,7109.62,0.0,11044.978327283785
0.0,7079.270847891215,0.0,33834.85327652665
